query_id,subplan_id,true_rows,est_rows
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,t,2528312,2528214
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci,36244344,36267348
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,mi1,1735241,1693142
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,it1,3,3
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,kt,3,3
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,n,2745,417
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,rt,3,3
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_t,36244344,36267348
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,mi1_t,1735241,1693142
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,kt_t,221686,1083520
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1,28944819,60856721
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_n,23225,3629
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_rt,21021050,9066837
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,it1_mi1,1717729,44951
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_t,28944819,60856721
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_t,2478047,15543149
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_n_t,23225,3629
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_rt_t,21021050,9066837
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,it1_mi1_t,1717729,44951
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,kt_mi1_t,307846,725632
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1,27763465,1615665
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_n,16549,6090
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_rt,16272618,15214180
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_n_rt,17058,907
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_t,27763465,1615665
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_mi1_t,3643971,26081452
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_n_t,16549,6090
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_rt_t,16272618,15214180
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_n_t,1481,1555
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_rt_t,1532413,3885787
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_n_rt_t,17058,907
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,it1_kt_mi1_t,306246,19265
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_n,16096,162
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_rt,15602772,403916
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_n_rt,11183,1522
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_kt_mi1_t,3622528,692428
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_n_t,16096,162
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_rt_t,15602772,403916
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_mi1_n_t,2227,2610
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_mi1_rt_t,2279868,6520363
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_mi1_n_rt_t,11183,1522
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_n_rt_t,1143,389
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_n_rt,10914,40
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_kt_mi1_n_t,2220,69
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_kt_mi1_rt_t,2271767,173107
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_mi1_n_rt_t,10914,40
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_kt_mi1_n_rt_t,1745,652
0129c48fb89dc295b18cd4cc4e6b01d9f5146b5e,ci_it1_kt_mi1_n_rt_t,1741,17
0410f43135d802895f1e4bd2730cde3bcbcf28c7,t,2528312,2528214
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci,36244344,36267348
0410f43135d802895f1e4bd2730cde3bcbcf28c7,mi1,148842,120755
0410f43135d802895f1e4bd2730cde3bcbcf28c7,it1,2,2
0410f43135d802895f1e4bd2730cde3bcbcf28c7,kt,3,3
0410f43135d802895f1e4bd2730cde3bcbcf28c7,n,23306,42094
0410f43135d802895f1e4bd2730cde3bcbcf28c7,rt,5,5
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_t,36244344,36267348
0410f43135d802895f1e4bd2730cde3bcbcf28c7,mi1_t,148842,120755
0410f43135d802895f1e4bd2730cde3bcbcf28c7,kt_t,2296941,1083520
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1,2715157,4340305
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_n,259381,366333
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_rt,5810682,15111395
0410f43135d802895f1e4bd2730cde3bcbcf28c7,it1_mi1,148635,2137
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_t,2715157,4340305
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_t,32706077,15543149
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_n_t,259381,366333
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_rt_t,5810682,15111395
0410f43135d802895f1e4bd2730cde3bcbcf28c7,it1_mi1_t,148635,2137
0410f43135d802895f1e4bd2730cde3bcbcf28c7,kt_mi1_t,145627,51752
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1,2713253,76820
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_n,24735,43841
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_rt,293818,1808460
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_n_rt,49055,152639
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_t,2713253,76820
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_mi1_t,2589423,1860131
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_n_t,24735,43841
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_rt_t,293818,1808460
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_n_t,234043,157000
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_rt_t,5333533,6476312
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_n_rt_t,49055,152639
0410f43135d802895f1e4bd2730cde3bcbcf28c7,it1_kt_mi1_t,145432,916
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_n,24719,776
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_rt,293154,32008
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_n_rt,3287,18267
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_kt_mi1_t,2587663,32923
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_n_t,24719,776
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_rt_t,293154,32008
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_mi1_n_t,23395,18789
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_mi1_rt_t,278638,775054
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_mi1_n_rt_t,3287,18267
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_n_rt_t,44793,65417
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_n_rt,3278,323
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_kt_mi1_n_t,23379,333
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_kt_mi1_rt_t,278001,13718
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_mi1_n_rt_t,3278,323
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_kt_mi1_n_rt_t,3043,7829
0410f43135d802895f1e4bd2730cde3bcbcf28c7,ci_it1_kt_mi1_n_rt_t,3034,138
044b86b1f6a4fa2aba67e595057c65147ff7912b,t,2528312,2528214
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci,36244344,36267348
044b86b1f6a4fa2aba67e595057c65147ff7912b,mi1,208490,188929
044b86b1f6a4fa2aba67e595057c65147ff7912b,it1,2,2
044b86b1f6a4fa2aba67e595057c65147ff7912b,kt,2,2
044b86b1f6a4fa2aba67e595057c65147ff7912b,n,57756,42094
044b86b1f6a4fa2aba67e595057c65147ff7912b,rt,4,4
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_t,36244344,36267348
044b86b1f6a4fa2aba67e595057c65147ff7912b,mi1_t,208490,188929
044b86b1f6a4fa2aba67e595057c65147ff7912b,kt_t,2206089,722347
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1,3549810,6790688
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_n,520779,366333
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_rt,10311001,12089116
044b86b1f6a4fa2aba67e595057c65147ff7912b,it1_mi1,207497,3344
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_t,3549810,6790688
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_t,31816680,10362099
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_n_t,520779,366333
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_rt_t,10311001,12089116
044b86b1f6a4fa2aba67e595057c65147ff7912b,it1_mi1_t,207497,3344
044b86b1f6a4fa2aba67e595057c65147ff7912b,kt_mi1_t,112669,53980
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1,3496502,120189
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_n,51143,68592
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_rt,902174,2263563
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_n_rt,140192,122111
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_t,3496502,120189
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_mi1_t,2286022,1940197
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_n_t,51143,68592
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_rt_t,902174,2263563
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_n_t,454842,104667
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_rt_t,9170098,3454033
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_n_rt_t,140192,122111
044b86b1f6a4fa2aba67e595057c65147ff7912b,it1_kt_mi1_t,111741,955
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_n,50513,1214
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_rt,886204,40063
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_n_rt,11480,22864
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_kt_mi1_t,2234434,34340
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_n_t,50513,1214
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_rt_t,886204,40063
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_mi1_n_t,30092,19598
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_mi1_rt_t,638596,646732
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_mi1_n_rt_t,11480,22864
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_n_rt_t,125215,34889
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_n_rt,11330,405
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_kt_mi1_n_t,29471,347
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_kt_mi1_rt_t,623212,11447
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_mi1_n_rt_t,11330,405
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_kt_mi1_n_rt_t,8238,6533
044b86b1f6a4fa2aba67e595057c65147ff7912b,ci_it1_kt_mi1_n_rt_t,8094,116
07473ebe14c186cdbbce8e587230405708c5d14a,t,2528312,2528214
07473ebe14c186cdbbce8e587230405708c5d14a,ci,36244344,36267348
07473ebe14c186cdbbce8e587230405708c5d14a,mi1,20551,6954
07473ebe14c186cdbbce8e587230405708c5d14a,it1,1,1
07473ebe14c186cdbbce8e587230405708c5d14a,kt,3,3
07473ebe14c186cdbbce8e587230405708c5d14a,n,64350,42094
07473ebe14c186cdbbce8e587230405708c5d14a,rt,4,4
07473ebe14c186cdbbce8e587230405708c5d14a,ci_t,36244344,36267348
07473ebe14c186cdbbce8e587230405708c5d14a,mi1_t,20551,6954
07473ebe14c186cdbbce8e587230405708c5d14a,kt_t,2296941,1083520
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1,338521,249948
07473ebe14c186cdbbce8e587230405708c5d14a,ci_n,665310,366333
07473ebe14c186cdbbce8e587230405708c5d14a,ci_rt,4912293,12089116
07473ebe14c186cdbbce8e587230405708c5d14a,it1_mi1,20539,609
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_t,338521,249948
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_t,32706077,15543149
07473ebe14c186cdbbce8e587230405708c5d14a,ci_n_t,665310,366333
07473ebe14c186cdbbce8e587230405708c5d14a,ci_rt_t,4912293,12089116
07473ebe14c186cdbbce8e587230405708c5d14a,it1_mi1_t,20539,609
07473ebe14c186cdbbce8e587230405708c5d14a,kt_mi1_t,16885,2980
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1,337641,21889
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_n,2303,2525
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_rt,49222,83316
07473ebe14c186cdbbce8e587230405708c5d14a,ci_n_rt,104961,122111
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_t,337641,21889
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_mi1_t,286367,107121
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_n_t,2303,2525
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_rt_t,49222,83316
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_n_t,595959,157000
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_rt_t,4530485,5181050
07473ebe14c186cdbbce8e587230405708c5d14a,ci_n_rt_t,104961,122111
07473ebe14c186cdbbce8e587230405708c5d14a,it1_kt_mi1_t,16873,261
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_n,2268,221
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_rt,49152,7296
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_n_rt,342,842
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_kt_mi1_t,285487,9381
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_n_t,2268,221
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_rt_t,49152,7296
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_mi1_n_t,2094,1082
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_mi1_rt_t,41544,35707
07473ebe14c186cdbbce8e587230405708c5d14a,ci_mi1_n_rt_t,342,842
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_n_rt_t,96324,52333
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_n_rt,332,74
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_kt_mi1_n_t,2059,95
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_kt_mi1_rt_t,41474,3127
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_mi1_n_rt_t,332,74
07473ebe14c186cdbbce8e587230405708c5d14a,ci_kt_mi1_n_rt_t,315,361
07473ebe14c186cdbbce8e587230405708c5d14a,ci_it1_kt_mi1_n_rt_t,305,32
086bbb02ffa290e4f17c7f161465583b9ece3824,t,2528312,2528214
