query_id,iteration,est_rows,actual_rows,latency_ms,plan_hash
10a,0,14860,8790,33.354,44a967c74d67
10b,0,14860,8790,16.651,44a967c74d67
10c,0,14860,1153798,77.641,7e685bcc9edc
11a,0,0,1021,10.323,632bd70cc404
11b,0,69,46,7.665,205cd3ed49ed
11c,0,284,780776,63.329,6feb0d65dbeb
11d,0,284,3200479,175.441,6feb0d65dbeb
12a,0,4885,15849,13.284,b699bd12391d
12b,0,14860,1153798,21.955,cd5c763aa0ea
12c,0,4885,121571,14.991,b699bd12391d
13a,0,0,111101,12.981,42979f59602e
13b,0,14860,1153798,35.313,2c9867674c1c
13c,0,14860,1153798,25.354,2c9867674c1c
13d,0,0,670390,36.870,42979f59602e
14a,0,14835720,944600,24.484,e2aa25e14fb8
14b,0,14835720,406787,14.759,e2aa25e14fb8
14c,0,8,460150,34.480,a7016ff135a5
15a,0,2972,43837,26.267,4af322ef9151
15b,0,4,278,60.139,db33821289ea
15c,0,14860,1153657,42.667,0c996e607097
15d,0,14860,1153657,54.120,0c996e607097
16a,0,69,41838,29.537,1ae6b16c91d2
16b,0,2,3710592,155.751,1bbf0e60165a
16c,0,0,319932,42.823,1ae6b16c91d2
16d,0,0,249455,38.826,1ae6b16c91d2
17a,0,9,2832555,58.813,fdb785b0d2d2
17b,0,1632,7796926,78.213,fdb785b0d2d2
17c,0,1632,7796926,72.932,fdb785b0d2d2
17d,0,1632,7796926,77.297,b824dfd0f6e5
17e,0,11,2832555,59.421,cb3c4bd9b419
17f,0,1632,7796926,93.802,b824dfd0f6e5
18a,0,24425,459925,53.309,f402880b8e0a
18b,0,36244344,66565,36.256,10fa4f929d65
18c,0,36244344,2804962,51.663,d84f6643c5fd
19a,0,2972,542096,57.167,774febfee11f
19b,0,31,222685,34.712,c1de965f0291
19c,0,14860,1153798,76.735,774febfee11f
19d,0,13,1909379,102.199,71c112ec68f6
1a,0,24425,250,5.955,64c3cb5c5cae
1b,0,24425,10,5.921,782af87ac4ef
1c,0,24425,250,5.605,782af87ac4ef
1d,0,24425,10,5.730,782af87ac4ef
20a,0,680,978322,64.567,9beded19e35e
20b,0,680,294672,45.467,6deca1859ebe
20c,0,680,294672,46.981,9beded19e35e
