queryId,warehouseId,databaseId,createdTime,endTime,durationTotal,durationExec,durationControlPlane,durationCompiling,compilationTime,scheduleTime,serverCount,execTime,warehouseSize,perServerCores,persistentReadBytesS3,persistentReadRequestsS3,persistentReadBytesCache,persistentReadRequestsCache,persistentWriteBytesCache,persistentWriteRequestsCache,persistentWriteBytesS3,persistentWriteRequestsS3,intDataWriteBytesLocalSSD,intDataWriteRequestsLocalSSD,intDataReadBytesLocalSSD,intDataReadRequestsLocalSSD,intDataWriteBytesS3,intDataWriteRequestsS3,intDataReadBytesS3,intDataReadRequestsS3,intDataWriteBytesUncompressed,ioRemoteExternalReadBytes,ioRemoteExternalReadRequests,intDataNetReceivedBytes,intDataNetSentBytes,intDataNetSentRequests,intDataNetSentBytesUncompressed,producedRows,returnedRows,fileStolenCount,remoteSeqScanFileOps,localSeqScanFileOps,localWriteFileOps,remoteSkipScanFileOps,remoteWriteFileOps,filesCreated,scanAssignedBytes,scanAssignedFiles,scanBytes,scanFiles,scanOriginalFiles,userCpuTime,systemCpuTime,profIdle,profCpu,profPersistentReadCache,profPersistentWriteCache,profPersistentReadS3,profPersistentWriteS3,profIntDataReadLocalSSD,profIntDataWriteLocalSSD,profIntDataReadS3,profIntDataWriteS3,profRemoteExtRead,profRemoteExtWrite,profResWriteS3,profFsMeta,profDataExchangeNet,profDataExchangeMsg,profControlPlaneMsg,profOs,profMutex,profSetup,profSetupMesh,profTeardown,profScanRso,profXtScanRso,profProjRso,profSortRso,profFilterRso,profResRso,profDmlRso,profHjRso,profBufRso,profFlatRso,profBloomRso,profAggRso,profBandRso,profPercentileRso,profUdtfRso,memoryUsed
282952223678799236,7891774171123969424,7097937327349925659,2018-03-02 14:44:02.768000+00:00,2018-03-02 14:44:40.431000+00:00,37663,2127,607,133,133,51,2,2127,2,8,0,0,0,0,4608000,5,4608000,2,0,0,0,0,0,0,0,0,0,6746554,32,47623,47623,32,57678,13079,1,6,32,0,2,0,2,2,6746554,32,6746554,32,0,4220000,330000,2217,1339,0,0,0,61,0,0,0,0,897,0,0,0,0,111,48,0,24,0,0,0,0,1778,0,0,0,0,2576,0,0,0,0,0,0,0,0,561709328
6046452595346486634,7891774171123969424,7097937327349925659,2018-03-02 15:00:30.178000+00:00,2018-03-02 15:01:10.809000+00:00,40631,3631,401,3067,3067,105,2,3631,2,8,5336576,23,6928544,28,17177312,54,11838976,16,0,0,0,0,0,0,0,0,0,0,0,3119690,3119690,601,7722904,94499,1,0,0,0,27,23,16,16,14418432,20,14418432,20,7486,5680000,830000,3644,7265,0,0,284,235,0,0,0,0,0,0,0,0,0,891,110,0,61,0,324453,0,2522,0,99,0,0,99,7648,0,0,0,0,0,0,0,0,1636732032
2644374019525554696,7891774171123969424,7097937327349925659,2018-03-02 13:14:02.842000+00:00,2018-03-02 13:14:37.807000+00:00,34965,3157,1177,93,93,10,2,3157,2,8,0,0,0,0,3326976,4,3326976,2,0,0,0,0,0,0,0,0,0,3693399,25,44107,44107,22,54738,10341,1,0,25,0,2,0,2,2,3693399,25,3693399,25,0,3780000,420000,4653,743,0,0,0,49,0,0,0,0,637,0,0,0,0,0,61,0,12,0,0,0,0,1971,0,0,0,0,2995,0,0,0,0,0,0,0,0,769316096
4440076630735118281,7891774171123969424,7097937327349925659,2018-03-02 13:10:35.889000+00:00,2018-03-02 13:11:07.876000+00:00,31987,450,284,2032,2032,70,2,450,2,1,0,0,245760,8,167936,2,167936,2,0,0,0,0,0,0,0,0,0,0,0,225520,225520,81,538694,1042,1,0,0,0,2,0,2,2,454656,4,454656,4,12087,100000,50000,747,36,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,99,0,0,0,0,0,297,0,0,0,0,0,0,0,0,83225279
5472776676240289845,7891774171123969424,7097937327349925659,2018-03-02 15:00:15.694000+00:00,2018-03-02 15:00:25.254000+00:00,9560,7227,371,1884,1884,65,2,7227,2,8,7417344,22,2460992,19,17246944,53,9827840,16,0,0,0,0,0,0,0,0,0,0,0,4135247,4135247,1122,14955678,78393,1,0,0,0,27,22,16,16,11850240,14,11850240,14,149163,6680000,890000,9925,7742,0,0,197,434,0,0,0,0,0,0,0,0,0,892,12,12,12,0,0,0,3754,0,0,99,0,0,10499,0,0,0,0,0,0,0,0,2029588224
6620591395540918316,7891774171123969424,7097937327349925659,2018-03-02 15:00:11.461000+00:00,2018-03-02 15:00:24.802000+00:00,13341,854,642,119,119,37,2,854,2,8,0,0,0,0,27136,2,27136,2,0,0,0,0,0,0,0,0,0,57325,15,39165,39165,22,54738,75,1,0,15,0,2,0,2,2,57325,15,57325,15,0,390000,130000,561,37,0,0,0,0,0,0,0,0,742,0,0,0,0,0,61,0,12,0,0,0,0,1099,0,0,0,0,198,0,0,0,0,0,0,0,0,103392864
4826057808643735851,7891774171123969424,7097937327349925659,2018-03-02 14:44:10.148000+00:00,2018-03-02 14:44:50.340000+00:00,40192,1858,335,1327,1327,53,2,1858,2,8,4122624,18,3589632,16,11555104,43,7431680,16,0,0,0,0,0,0,0,0,0,0,0,304145,304145,195,829650,51228,1,0,0,0,29,18,16,16,7767040,21,7767040,21,12093,1780000,410000,1811,3271,0,0,53,247,0,0,0,0,0,0,0,0,0,12,12,0,56,0,214415,0,601,0,0,12,0,0,3525,0,0,0,0,0,0,0,0,760559152
8090338820962187774,7891774171123969424,7097937327349925659,2018-03-02 14:44:53.115000+00:00,2018-03-02 14:46:04.600000+00:00,70945,2370,1184,1505,1505,21,2,2370,2,8,3507712,13,4239360,22,11132544,37,7624192,16,0,0,0,0,0,0,0,0,0,0,0,361013,361013,208,913922,52540,1,0,0,0,25,13,16,16,7934464,20,7934464,20,12092,1570000,410000,3214,1689,0,0,166,284,0,0,0,0,0,0,0,8,0,594,0,0,0,0,0,0,1209,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,724274400
4642664533401268271,7891774171123969424,7097937327349925659,2018-03-02 14:44:44.786000+00:00,2018-03-02 14:45:59.690000+00:00,74283,2508,1255,77,77,34,2,2508,2,8,0,0,0,0,6559744,7,6559744,3,0,0,0,0,0,0,0,0,0,9128617,61,43443,43443,28,56502,24245,1,4,61,0,3,0,3,3,9128617,61,9128617,61,0,5830000,560000,2977,868,0,0,0,98,0,0,0,0,846,0,0,0,0,0,173,0,12,0,0,0,0,1508,0,0,0,0,3171,0,0,0,0,0,0,0,0,889188144
5427982284883999116,7891774171123969424,7097937327349925659,2018-03-02 13:14:59.100000+00:00,2018-03-02 13:15:53.244000+00:00,54234,4615,1084,141,141,80,2,4615,2,8,0,0,0,0,5034496,5,5034496,2,0,0,0,0,0,0,0,0,0,6374452,45,45033,45033,32,57678,30736,1,6,44,0,2,0,2,2,6374452,44,6374452,44,0,6190000,420000,5288,3328,0,0,0,61,0,0,0,0,1727,0,0,0,0,24,86,0,86,0,0,0,0,4392,0,0,0,0,5285,0,0,0,0,0,0,0,0,550446576
