step,value,baseline,residual,drift,slew,grammar_state
0,47.000000,50.000000,-3.000000,0.00000000,0.00000000,Admissible
1,50.382186,50.000000,0.382186,3.38218591,0.00000000,Admissible
2,50.633660,50.000000,0.633660,1.81683017,0.00000000,Admissible
3,52.130106,50.000000,2.130106,1.56417919,-1.88574045,Admissible
4,48.273924,50.000000,-1.726076,0.42957680,-4.56205407,Admissible
5,48.526340,50.000000,-1.473660,0.08009598,-3.61871313,Violation
6,50.255962,50.000000,0.255962,0.13201632,-2.35383181,Violation
7,52.029521,50.000000,2.029521,0.29044506,-0.26453783,Violation
8,47.311814,50.000000,-2.688186,0.03050165,-1.40628305,Violation
9,50.722106,50.000000,0.722106,0.08251899,-0.28483846,Violation
10,49.575652,50.000000,-0.424348,0.05502969,-0.37451157,Violation
11,49.525083,50.000000,-0.474917,0.03510901,-0.29740199,Admissible
12,49.440752,50.000000,-0.559248,0.01913146,-0.26547694,Admissible
13,52.726747,50.000000,2.726747,0.10242737,0.05200264,Admissible
14,49.484704,50.000000,-0.515296,0.07295795,-0.06813164,Admissible
15,47.753146,50.000000,-2.246854,-0.06185109,0.05384217,Admissible
16,52.203493,50.000000,2.203493,0.00854260,0.34495298,Admissible
17,48.650010,50.000000,-1.349990,-0.00922047,0.07789059,Admissible
18,49.530747,50.000000,-0.469253,0.04487493,-0.27706060,Admissible
19,47.586065,50.000000,-2.413935,-0.05053990,-0.33334680,Admissible
20,47.831855,50.000000,-2.168145,-0.13014145,-0.31435855,Admissible
21,52.225866,50.000000,2.225866,-0.04799467,-0.10532691,Admissible
22,52.187829,50.000000,2.187829,0.07683895,-0.05266259,Admissible
23,51.179864,50.000000,1.179864,0.04111642,0.43471634,Admissible
24,51.160321,50.000000,1.160321,0.08852774,0.36745553,Admissible
25,48.600887,50.000000,-1.399113,0.03763235,0.32843179,Admissible
26,50.046546,50.000000,0.046546,0.02491491,0.38521465,Admissible
27,52.690343,50.000000,2.690343,0.07402058,0.66228252,Admissible
28,52.835101,50.000000,2.835101,0.20902508,0.29421654,Admissible
29,48.726642,50.000000,-1.273358,0.14830132,-0.24701450,Admissible
30,50.585256,50.000000,0.585256,0.08727721,-0.20478216,Admissible
31,51.796700,50.000000,1.796700,0.17357729,-0.50082186,Admissible
32,48.745367,50.000000,-1.254633,0.08351878,-0.59474365,Admissible
33,52.571194,50.000000,2.571194,0.11392928,-0.34851324,Admissible
34,51.917959,50.000000,1.917959,0.06158785,-0.00664782,Admissible
35,47.100191,50.000000,-2.899809,-0.11964625,-0.05805906,Admissible
36,47.513655,50.000000,-2.486345,-0.16238750,-0.39611452,Admissible
37,48.636920,50.000000,-1.363080,-0.16130457,-0.48667127,Admissible
38,48.692474,50.000000,-1.307526,-0.17494998,-0.55008109,Admissible
39,47.333324,50.000000,-2.666676,-0.21424899,-0.70013132,Admissible
40,47.267562,50.000000,-2.732438,-0.31465089,-0.36102960,Admissible
41,47.876140,50.000000,-2.123860,-0.35377192,-0.13738991,Admissible
42,48.973895,50.000000,-1.026105,-0.28216056,0.00199712,Admissible
43,47.011293,50.000000,-2.988707,-0.24220528,-0.00033418,Admissible
44,48.167967,50.000000,-1.832033,-0.26991837,0.47794525,Admissible
45,50.756074,50.000000,0.756074,-0.17783028,0.84748406,Admissible
46,47.293555,50.000000,-2.706445,-0.13830253,0.63537671,Admissible
47,52.484911,50.000000,2.484911,-0.04008916,1.21422957,Admissible
48,47.162869,50.000000,-2.837131,0.02102699,0.62994527,Admissible
49,48.282596,50.000000,-1.717404,0.11078791,0.04536807,Admissible
50,50.156787,50.000000,0.156787,0.12273652,0.15119773,Admissible
51,51.936024,50.000000,1.936024,0.18006291,0.38498476,Admissible
52,52.181835,50.000000,2.181835,0.25983369,0.34359260,Admissible
53,47.834065,50.000000,-2.165935,0.21983705,-0.18036664,Admissible
54,49.742068,50.000000,-0.257932,0.19177337,-0.20788961,Admissible
55,50.537894,50.000000,0.537894,0.17312375,-0.21941750,Admissible
56,52.778624,50.000000,2.778624,0.21620058,0.10153388,Admissible
57,47.338385,50.000000,-2.661615,0.13712701,-0.34687251,Admissible
58,51.607570,50.000000,1.607570,0.11454982,-0.16134977,Admissible
59,50.195780,50.000000,0.195780,0.07331043,-0.18091888,Admissible
60,48.808911,50.000000,-1.191089,0.06410303,-0.50978195,Admissible
61,49.927345,50.000000,-0.072655,-0.00911849,-0.11956890,Admissible
62,51.394767,50.000000,1.394767,0.09326364,-0.37922907,Admissible
63,57.063552,50.000000,7.063552,0.18920042,0.45649258,Admissible
64,60.121370,50.000000,10.121370,0.35821526,1.35223512,Admissible
65,61.986547,50.000000,11.986547,0.58512651,2.12141269,Admissible
66,59.984647,50.000000,9.984647,0.77057646,2.02016558,Admissible
67,61.217035,50.000000,11.217035,0.96511420,1.77531689,Violation
68,64.181891,50.000000,14.181891,1.07728276,2.06530818,Violation
69,68.129199,50.000000,18.129199,1.28426330,2.08046247,Violation
70,68.836135,50.000000,18.836135,1.46598679,1.61407829,Violation
71,72.890213,50.000000,22.890213,1.74773223,0.78076158,Violation
72,72.630230,50.000000,22.630230,1.79571560,0.47916446,Violation
73,78.419113,50.000000,28.419113,2.02006974,0.20879584,Violation
74,76.626930,50.000000,26.626930,2.06352693,-0.02981075,Violation
75,77.314316,50.000000,27.314316,1.99014700,-0.05965352,Boundary
76,83.352508,50.000000,33.352508,1.99787207,0.31378879,Boundary
77,85.636988,50.000000,35.636988,1.98525992,0.72062033,Boundary
78,85.391543,50.000000,35.391543,2.00618329,0.47797787,Violation
79,88.788129,50.000000,38.788129,2.09821613,0.10782616,Violation
80,92.703103,50.000000,42.703103,2.23903282,-0.12502333,Violation
81,89.604875,50.000000,39.604875,2.13549469,-0.42786678,Violation
82,92.984518,50.000000,42.984518,2.04587218,-0.23308267,Violation
83,97.226950,50.000000,47.226950,2.03356535,0.05257368,Violation
84,97.184819,50.000000,47.184819,2.01496742,-0.23427714,Violation
85,100.660075,50.000000,50.660075,1.99967897,-0.11816536,Violation
86,100.285024,50.000000,50.285024,1.97718812,-0.37012391,Violation
87,102.629597,50.000000,52.629597,1.90804490,-0.29769155,Violation
88,103.140967,50.000000,53.140967,1.90994199,-0.76211922,Violation
89,106.979696,50.000000,56.979696,1.86830976,-0.38900481,Violation
90,107.134072,50.000000,57.134072,1.74177379,-0.05141196,Violation
