step,value,baseline,residual,drift,slew,grammar_state
0,95.000000,100.000000,-5.000000,0.00000000,0.00000000,Admissible
1,104.385344,100.000000,4.385344,9.38534432,0.00000000,Admissible
2,95.917210,100.000000,-4.082790,0.45860507,0.00000000,Admissible
3,97.034032,100.000000,-2.965968,-0.23660396,-8.26852294,Admissible
4,99.822025,100.000000,-0.177975,0.22927359,-7.43293720,Admissible
5,104.469728,100.000000,4.469728,0.99358578,3.25924324,Admissible
6,98.287129,100.000000,-1.712871,0.49767747,0.38209459,Admissible
7,95.319651,100.000000,-4.680349,0.00228600,-1.73236813,Admissible
8,95.658266,100.000000,-4.341734,-0.20647473,-1.51115551,Admissible
9,95.571508,100.000000,-4.428492,-0.30622291,-2.27180398,Admissible
10,99.414612,100.000000,-0.585388,-0.17202524,-1.17452587,Admissible
11,97.883587,100.000000,-2.116413,-0.14687273,-0.70271677,Admissible
12,95.215175,100.000000,-4.784825,-0.21479832,-1.00543017,Admissible
13,95.374514,100.000000,-4.625486,-0.24680479,-0.44087437,Admissible
14,102.025737,100.000000,2.025737,-0.09515829,0.01332040,Admissible
15,99.388438,100.000000,-0.611562,-0.15108491,1.05545573,Admissible
16,99.675329,100.000000,-0.324671,0.05264045,0.69527537,Admissible
17,104.334900,100.000000,4.334900,0.14772987,1.52580033,Admissible
18,95.727774,100.000000,-4.272226,0.02948718,1.25852026,Admissible
19,100.446237,100.000000,0.446237,0.11352819,1.15896330,Admissible
20,97.105989,100.000000,-2.894011,0.24462520,-0.01315078,Admissible
21,96.058742,100.000000,-3.941258,0.19919442,-0.76484611,Admissible
22,98.047214,100.000000,-1.952786,0.12664887,-1.04722300,Admissible
23,99.855082,100.000000,-0.144918,0.09923345,-0.89308802,Admissible
24,98.936466,100.000000,-1.063534,0.03138519,-0.68100061,Admissible
25,104.281606,100.000000,4.281606,0.19495071,-0.40834267,Admissible
26,101.303406,100.000000,1.303406,0.22293552,0.01184317,Admissible
27,103.181869,100.000000,3.181869,0.20942793,0.76002285,Admissible
28,102.144670,100.000000,2.144670,0.14609043,1.52069626,Admissible
29,99.795504,100.000000,-0.204496,0.18987959,1.07730077,Admissible
30,102.233357,100.000000,2.233357,0.22722879,0.91173929,Admissible
31,105.153003,100.000000,5.153003,0.33560559,0.80092633,Admissible
32,105.516617,100.000000,5.516617,0.56664023,-0.06495962,Admissible
33,110.455867,100.000000,10.455867,0.67101782,0.36087635,Admissible
34,119.570331,100.000000,19.570331,1.08546991,1.03067270,Admissible
35,129.403285,100.000000,29.403285,1.58200986,2.59274669,Admissible
36,133.873591,100.000000,33.873591,2.04503862,4.26962910,Admissible
37,140.978285,100.000000,40.978285,2.60744520,5.71640596,Admissible
38,141.815427,100.000000,41.815427,3.08910845,6.05657426,Admissible
39,145.489118,100.000000,45.489118,3.48650941,5.97662260,Violation
40,153.822114,100.000000,53.822114,4.07869409,5.08913117,Violation
41,158.637471,100.000000,58.637471,4.52924088,3.92235345,Violation
42,166.324695,100.000000,66.324695,5.02087412,2.30751835,Violation
43,176.087712,100.000000,76.087712,5.50143844,1.12654229,Admissible
44,181.894699,100.000000,81.894699,5.79597610,0.62706506,Admissible
