step,value,baseline,residual,drift,slew,grammar_state
0,4.900000,5.000000,-0.100000,0.00000000,0.00000000,Admissible
1,5.025033,5.000000,0.025033,0.12503256,0.00000000,Admissible
2,5.008652,5.000000,0.008652,0.05432621,0.00000000,Admissible
3,4.931432,5.000000,-0.068568,0.00779149,-0.20225329,Admissible
4,4.961381,5.000000,-0.038619,0.00291614,-0.14866819,Admissible
5,5.009448,5.000000,0.009448,0.00797330,-0.01531801,Admissible
6,5.024033,5.000000,0.024033,0.01048777,-0.02173925,Admissible
7,5.015188,5.000000,0.015188,0.00992447,0.00980915,Admissible
8,5.029307,5.000000,0.029307,0.00994123,0.00636779,Admissible
9,4.968364,5.000000,-0.031636,0.00608336,-0.01060538,Admissible
10,4.922215,5.000000,-0.077785,0.00160485,-0.01974615,Admissible
11,5.061765,5.000000,0.061765,0.00432667,-0.01229330,Admissible
12,4.964920,5.000000,-0.035080,0.00263640,-0.01480459,Admissible
13,4.969996,5.000000,-0.030004,0.00164364,-0.01659320,Admissible
14,5.052158,5.000000,0.052158,0.00301132,-0.00939909,Admissible
15,4.958940,5.000000,-0.041060,0.00180375,-0.01024713,Admissible
16,4.951265,5.000000,-0.048735,0.00078916,-0.01279657,Admissible
17,4.952294,5.000000,-0.047706,0.00008137,-0.01153366,Admissible
18,4.978793,5.000000,-0.021207,-0.00000812,-0.01105558,Admissible
19,4.988152,5.000000,-0.011848,0.00006048,-0.00729494,Admissible
20,4.913366,5.000000,-0.086634,-0.00226487,-0.00541975,Admissible
21,5.006591,5.000000,0.006591,-0.00130434,-0.00472704,Admissible
22,5.063333,5.000000,0.063333,0.00023588,0.00009283,Admissible
23,5.002618,5.000000,0.002618,-0.00039275,0.00508758,Admissible
24,5.010156,5.000000,0.010156,-0.00054785,0.00956484,Admissible
25,5.016310,5.000000,0.016310,0.00007056,0.01165279,Admissible
26,4.961738,5.000000,-0.038262,0.00012934,0.00839120,Admissible
27,4.937943,5.000000,-0.062057,-0.00019778,0.00342474,Admissible
28,4.957480,5.000000,-0.042520,0.00009330,-0.00168447,Admissible
29,4.926813,5.000000,-0.073187,-0.00090797,-0.00464407,Admissible
30,4.995137,5.000000,-0.004863,-0.00159938,-0.00072345,Admissible
31,5.035343,5.000000,0.035343,0.00037735,-0.00388156,Admissible
32,5.019407,5.000000,0.019407,0.00063701,-0.00178208,Admissible
33,5.095243,5.000000,0.095243,0.00197825,0.00510490,Admissible
34,4.987978,5.000000,-0.012022,0.00289611,0.00002762,Admissible
35,4.951613,5.000000,-0.048387,0.00191911,-0.00098435,Admissible
36,5.071090,5.000000,0.071090,0.00253875,0.00585044,Admissible
37,4.982280,5.000000,-0.017720,0.00172573,0.00628548,Admissible
38,4.923725,5.000000,-0.076275,0.00044954,0.00128540,Admissible
39,5.032978,5.000000,0.032978,0.00096469,0.00139979,Admissible
40,4.980779,5.000000,-0.019221,-0.00051410,0.00245052,Admissible
41,5.093394,5.000000,0.093394,0.00098649,0.00508143,Admissible
42,4.976873,5.000000,-0.023127,0.00158789,-0.00297444,Admissible
43,5.053576,5.000000,0.053576,0.00245640,-0.00189650,Admissible
44,4.950632,5.000000,-0.049368,0.00189668,-0.00660867,Admissible
