step,value,baseline,residual,drift,slew,grammar_state
0,4.850000,5.000000,-0.150000,0.00000000,0.00000000,Admissible
1,5.018907,5.000000,0.018907,0.16890698,0.00000000,Admissible
2,4.930284,5.000000,-0.069716,0.04014187,0.00000000,Admissible
3,4.937602,5.000000,-0.062398,0.01741824,-0.16158882,Admissible
4,4.971106,5.000000,-0.028894,0.01609067,-0.14849591,Admissible
5,4.929991,5.000000,-0.070009,0.00753910,-0.04394746,Admissible
6,5.057901,5.000000,0.057901,0.01738186,-0.00816369,Admissible
7,4.924139,5.000000,-0.075861,0.00888769,-0.01871734,Admissible
8,5.052904,5.000000,0.052904,0.01291560,-0.00164374,Admissible
9,4.984982,5.000000,-0.015018,0.01055680,-0.00559215,Admissible
10,4.992147,5.000000,-0.007853,0.00911603,-0.00978244,Admissible
11,4.862807,5.000000,-0.137193,0.00295959,-0.03152103,Admissible
12,4.877717,5.000000,-0.122283,-0.00036737,-0.03339528,Admissible
13,4.880013,5.000000,-0.119987,-0.00238249,-0.03898634,Admissible
14,5.036108,5.000000,0.036108,0.00026960,-0.02371287,Admissible
15,4.865088,5.000000,-0.134912,-0.00491251,-0.01512535,Admissible
16,4.952771,5.000000,-0.047229,-0.00313051,-0.01930665,Admissible
17,4.870466,5.000000,-0.129534,-0.00570203,-0.01408793,Admissible
18,5.060388,5.000000,0.060388,-0.00310277,0.01059222,Admissible
19,4.966606,5.000000,-0.033394,-0.00232934,0.02299413,Admissible
20,4.953726,5.000000,-0.046274,-0.00303655,0.03385709,Admissible
21,4.973355,5.000000,-0.026645,0.00031676,0.02440623,Admissible
22,5.061437,5.000000,0.061437,0.00235231,0.03282888,Admissible
23,4.930703,5.000000,-0.069297,0.00430816,0.01535774,Admissible
24,5.131477,5.000000,0.131477,0.00977915,0.01605109,Admissible
25,4.990968,5.000000,-0.009032,0.01141893,-0.00139357,Admissible
26,5.147727,5.000000,0.147727,0.01328649,0.00548736,Admissible
27,5.142346,5.000000,0.142346,0.01442793,0.01476684,Admissible
28,5.081574,5.000000,0.081574,0.01317059,0.01764424,Admissible
29,5.142615,5.000000,0.142615,0.01717927,0.00289781,Admissible
30,5.035445,5.000000,0.035445,0.01324203,-0.00261919,Admissible
31,5.041192,5.000000,0.041192,0.01134528,-0.01255215,Admissible
32,5.100154,5.000000,0.100154,0.00825521,-0.00923268,Admissible
33,4.862627,5.000000,-0.137373,0.00383301,-0.04277120,Admissible
34,4.944653,5.000000,-0.055347,-0.00051175,-0.05550032,Admissible
35,5.017227,5.000000,0.017227,-0.00333176,-0.04903796,Admissible
36,5.032759,5.000000,0.032759,-0.00542944,-0.03436990,Admissible
37,4.884880,5.000000,-0.115120,-0.00891961,-0.03958105,Admissible
38,4.872706,5.000000,-0.127294,-0.01581883,-0.01809454,Admissible
39,5.053375,5.000000,0.053375,-0.01225778,-0.00261881,Admissible
40,7.978670,5.000000,2.978670,0.06070002,0.27318976,Admissible
41,7.893544,5.000000,2.893544,0.12533815,0.45487363,Admissible
42,7.461538,5.000000,2.461538,0.16921589,0.51897901,Violation
43,7.479826,5.000000,2.479826,0.20353165,0.52630376,Violation
44,7.146430,5.000000,2.146430,0.22269136,0.43619391,Violation
45,6.780686,5.000000,1.780686,0.22248899,0.27666639,Violation
46,6.738569,5.000000,1.738569,0.21516491,0.06229258,Violation
47,6.574280,5.000000,1.574280,0.19935613,-0.22463775,Violation
48,6.223070,5.000000,1.223070,0.16271590,-0.54478586,Violation
49,6.138451,5.000000,1.138451,0.12144508,-0.73061632,Violation
50,5.739924,5.000000,0.739924,0.06802104,-0.81291953,Violation
51,5.915697,5.000000,0.915697,0.01685405,-0.75450619,Violation
52,5.870402,5.000000,0.870402,-0.04282378,-0.55410544,Violation
53,6.023620,5.000000,1.023620,-0.10253871,-0.22804616,Violation
54,6.195430,5.000000,1.195430,-0.15690682,0.17268820,Violation
55,6.177808,5.000000,1.177808,-0.13221439,0.22717226,Violation
56,6.174944,5.000000,1.174944,-0.10359409,0.25286148,Violation
57,6.365905,5.000000,1.365905,-0.07640493,0.29766528,Violation
58,6.351138,5.000000,1.351138,-0.04514945,0.28595733,Violation
59,6.448253,5.000000,1.448253,-0.01696068,0.25327811,Violation
60,6.646692,5.000000,1.646692,0.00823272,0.23275004,Violation
61,6.596570,5.000000,1.596570,0.03144829,0.16306858,Violation
62,6.674616,5.000000,1.674616,0.05242818,0.08418538,Violation
63,6.933482,5.000000,1.933482,0.06948680,0.05210760,Violation
64,6.852990,5.000000,1.852990,0.07957824,0.00580179,Violation
65,7.139425,5.000000,2.139425,0.08289214,0.02545740,Admissible
66,7.070015,5.000000,2.070015,0.08449468,0.01815773,Admissible
67,7.124351,5.000000,2.124351,0.08203891,0.02029211,Admissible
68,7.117744,5.000000,2.117744,0.07931723,0.00452760,Admissible
69,7.439127,5.000000,2.439127,0.08563138,0.00203775,Admissible
70,7.473861,5.000000,2.473861,0.08786865,-0.00077463,Admissible
71,7.368027,5.000000,2.368027,0.08274946,-0.01328385,Admissible
72,7.583341,5.000000,2.583341,0.08420815,-0.01838601,Admissible
73,7.760422,5.000000,2.760422,0.08532398,-0.00661531,Admissible
74,7.636907,5.000000,2.636907,0.08109347,-0.00564361,Boundary
75,7.650579,5.000000,2.650579,0.07862924,-0.02317266,Boundary
76,7.884666,5.000000,2.884666,0.07699983,-0.00950415,Boundary
77,7.878793,5.000000,2.878793,0.07285316,-0.00712123,Boundary
78,8.101675,5.000000,3.101675,0.07737406,-0.00631003,Boundary
79,7.973147,5.000000,2.973147,0.07220987,-0.00035917,Boundary
80,8.126896,5.000000,3.126896,0.07507270,-0.01852864,Boundary
81,8.315780,5.000000,3.315780,0.07714779,-0.00812982,Boundary
82,8.248686,5.000000,3.248686,0.07464884,0.00035020,Violation
83,8.395525,5.000000,3.395525,0.07161661,0.02575009,Violation
84,8.611407,5.000000,3.611407,0.07860029,0.02452135,Violation
85,8.538379,5.000000,3.538379,0.08056396,0.01085358,Violation
86,8.752450,5.000000,3.752450,0.08105372,0.02890172,Violation
87,8.633940,5.000000,3.633940,0.07978820,0.01702193,Violation
88,8.848398,5.000000,3.848398,0.08519145,-0.00409522,Violation
89,9.028467,5.000000,4.028467,0.08768179,0.00334818,Violation
90,9.029481,5.000000,4.029481,0.08561824,0.01619966,Violation
91,8.942347,5.000000,3.942347,0.08313991,-0.00888043,Violation
92,9.257499,5.000000,4.257499,0.08459516,-0.00163347,Violation
93,9.134053,5.000000,4.134053,0.08440834,-0.02573222,Violation
94,9.173088,5.000000,4.173088,0.07783812,-0.02680320,Violation
95,9.374040,5.000000,4.374040,0.07639903,-0.01527526,Violation
96,9.586360,5.000000,4.586360,0.08121052,-0.01255003,Violation
97,9.448466,5.000000,4.448466,0.07611991,-0.01027958,Violation
98,9.603509,5.000000,4.603509,0.07481586,0.00178345,Violation
99,9.789479,5.000000,4.789479,0.08001489,0.00747757,Violation
100,9.740228,5.000000,4.740228,0.07768872,0.01114958,Violation
101,9.770110,5.000000,4.770110,0.07793361,0.00091948,Violation
102,10.077457,5.000000,5.077457,0.07884168,0.03171609,Violation
103,10.000532,5.000000,5.000532,0.07879855,0.02318807,Violation
104,10.015589,5.000000,5.015589,0.08016191,-0.00595290,Violation
105,10.304149,5.000000,5.304149,0.08524280,-0.00148701,Violation
106,10.241066,5.000000,5.241066,0.08170470,0.00476002,Violation
107,10.221366,5.000000,5.221366,0.08204018,-0.02722334,Violation
108,10.404081,5.000000,5.404081,0.07997412,-0.01762904,Violation
109,10.487622,5.000000,5.487622,0.07657604,-0.00080631,Violation
110,10.656771,5.000000,5.656771,0.07845340,0.00564332,Violation
111,10.758151,5.000000,5.758151,0.08435037,0.00153874,Violation
112,10.684577,5.000000,5.684577,0.08028320,0.00775547,Violation
113,10.827427,5.000000,5.827427,0.07980240,0.00805341,Violation
114,10.993706,5.000000,5.993706,0.08442086,0.00820465,Violation
115,11.034535,5.000000,6.034535,0.08435206,0.01700219,Violation
116,10.942667,5.000000,5.942667,0.07821781,0.01169756,Violation
117,11.232604,5.000000,6.232604,0.08392563,-0.00353407,Violation
118,11.316466,5.000000,6.316466,0.08540660,-0.00387669,Violation
119,11.447557,5.000000,6.447557,0.08589527,0.01228397,Violation
120,11.303194,5.000000,6.303194,0.08590527,-0.01470277,Violation
121,11.423132,5.000000,6.423132,0.08354335,-0.02382505,Violation
122,11.677992,5.000000,6.677992,0.08276842,-0.00213676,Violation
123,11.786316,5.000000,6.786316,0.08471976,0.01376740,Violation
124,11.583475,5.000000,6.583475,0.07905042,0.00545042,Violation
125,11.871810,5.000000,6.871810,0.08150851,-0.00200849,Violation
126,11.884467,5.000000,6.884467,0.08284018,-0.01754925,Violation
127,11.844120,5.000000,6.844120,0.07703850,-0.01952578,Violation
128,12.000257,5.000000,7.000257,0.07508046,-0.01109072,Violation
129,12.125799,5.000000,7.125799,0.07682312,-0.01555301,Violation
130,12.154310,5.000000,7.154310,0.07640189,-0.02486562,Violation
131,12.303996,5.000000,7.303996,0.07309883,0.00305937,Violation
132,12.369975,5.000000,7.369975,0.07486728,0.01286768,Violation
133,12.333006,5.000000,7.333006,0.07404552,0.00141982,Violation
134,12.444700,5.000000,7.444700,0.07613106,-0.01059455,Violation
135,12.526267,5.000000,7.526267,0.07256989,0.00707659,Violation
136,12.783130,5.000000,7.783130,0.07448898,0.03209606,Violation
137,12.726877,5.000000,7.726877,0.07742632,0.01799094,Violation
138,12.789854,5.000000,7.789854,0.08128703,-0.00465908,Violation
139,13.011199,5.000000,8.011199,0.08130187,0.01812418,Violation
140,12.980548,5.000000,7.980548,0.08368954,0.00605716,Violation
141,13.062954,5.000000,8.062954,0.08453920,0.00230332,Violation
142,13.175143,5.000000,8.175143,0.08283193,0.01230207,Violation
143,13.160321,5.000000,8.160321,0.08046153,0.00281818,Violation
144,13.221787,5.000000,8.221787,0.07907161,-0.01578859,Violation
145,13.507181,5.000000,8.507181,0.08171689,-0.00165354,Violation
146,13.394432,5.000000,8.394432,0.08098851,-0.01642789,Violation
147,13.525876,5.000000,8.525876,0.08153693,-0.02671690,Violation
148,13.690553,5.000000,8.690553,0.08101780,-0.00735484,Violation
149,13.779474,5.000000,8.779474,0.08106458,0.00968258,Violation
150,13.717768,5.000000,8.717768,0.07713215,0.01494594,Violation
151,13.863991,5.000000,8.863991,0.07993887,0.00595437,Violation
152,14.033616,5.000000,9.033616,0.08151875,0.01585150,Violation
153,13.941760,5.000000,8.941760,0.07793466,0.00744323,Violation
154,14.132755,5.000000,9.132755,0.08133566,-0.00139778,Violation
155,14.174746,5.000000,9.174746,0.08090511,-0.00625303,Violation
156,14.333556,5.000000,9.333556,0.08253427,-0.00561965,Violation
157,14.339078,5.000000,9.339078,0.08296902,-0.01344845,Violation
158,14.294665,5.000000,9.294665,0.07771306,-0.01460164,Violation
159,14.596769,5.000000,9.596769,0.07771463,0.00681282,Violation
160,14.664904,5.000000,9.664904,0.08266304,-0.00137667,Violation
161,14.579311,5.000000,9.579311,0.07811552,0.00317872,Violation
162,14.622410,5.000000,9.622410,0.07416928,-0.00308431,Violation
163,14.727334,5.000000,9.727334,0.07363501,-0.01411314,Violation
164,14.943036,5.000000,9.943036,0.07733110,-0.01573401,Violation
165,15.108770,5.000000,10.108770,0.07925193,0.01054854,Violation
166,14.941937,5.000000,9.941937,0.07621188,0.00590303,Violation
167,15.265483,5.000000,10.265483,0.08225711,0.00395750,Violation
168,15.207206,5.000000,10.207206,0.07982142,0.01446871,Violation
169,15.427360,5.000000,10.427360,0.08382713,0.02895559,Violation
170,15.493964,5.000000,10.493964,0.08607409,0.03875100,Violation
171,15.349209,5.000000,10.349209,0.08452814,0.00903305,Violation
