sigma,P,detection_delay,lead_time,detected,false_alarms,boundary_steps,violation_steps
0.5,5,0,197,1,1,0,197
0.5,10,0,197,1,1,0,190
0.5,15,0,197,1,1,0,158
0.5,20,0,197,1,1,0,163
0.5,25,0,197,1,1,0,164
0.5,30,0,197,1,1,0,163
0.5,40,0,197,1,1,0,162
1,5,0,197,1,1,0,197
1,10,0,197,1,1,0,168
1,15,0,197,1,1,6,145
1,20,0,197,1,1,5,145
1,25,0,197,1,1,0,149
1,30,0,197,1,1,0,146
1,40,0,197,1,1,0,144
1.5,5,0,195,1,1,0,195
1.5,10,0,171,1,1,12,127
1.5,15,6,144,1,0,6,122
1.5,20,7,143,1,0,6,123
1.5,25,8,142,1,0,9,124
1.5,30,12,138,1,0,6,127
1.5,40,14,136,1,0,10,126
2,5,0,195,1,1,0,192
2,10,34,116,1,0,8,108
2,15,7,143,1,0,8,111
2,20,7,143,1,0,14,108
2,25,12,138,1,0,14,108
2,30,13,137,1,0,16,108
2,40,18,132,1,0,16,108
2.5,5,0,176,1,1,3,145
2.5,10,42,108,1,0,12,96
2.5,15,42,108,1,0,12,96
2.5,20,42,108,1,0,12,96
2.5,25,42,108,1,0,12,96
2.5,30,42,108,1,0,12,96
2.5,40,42,108,1,0,12,96
3,5,0,159,1,1,3,128
3,10,51,99,1,0,13,86
3,15,51,99,1,0,13,86
3,20,51,99,1,0,13,86
3,25,51,99,1,0,13,86
3,30,51,99,1,0,13,86
3,40,51,99,1,0,13,86
