timestamp,expected_torque,observed_torque,wob,rpm
0.000,18.0000,25.363690,150.7215,80.0870
0.500,18.0000,25.839642,152.0739,80.2997
1.000,18.0000,25.848115,148.6600,80.3356
1.500,18.0000,17.590178,149.3348,79.6665
2.000,18.0000,18.080963,150.4223,79.9944
2.500,18.0000,18.415454,150.4561,79.8125
3.000,18.0000,17.726744,151.4437,80.2281
3.500,18.0000,18.540243,148.5051,79.9712
4.000,18.0000,18.102392,149.8248,79.9572
4.500,18.0000,17.620638,151.6500,80.2726
5.000,18.0000,18.489142,154.4991,79.7805
5.500,18.0000,18.154157,150.0196,80.9051
6.000,18.0000,17.660634,150.9715,79.1926
6.500,18.0000,17.420529,145.9583,79.2311
7.000,18.0000,18.530708,148.2633,79.8023
7.500,18.0000,17.875946,151.2219,79.3590
8.000,18.0000,18.635296,148.0138,79.5216
8.500,18.0000,18.291822,150.0494,80.6103
9.000,18.0000,18.306122,147.5843,79.6118
9.500,18.0000,18.113165,151.4501,80.0779
10.000,18.0000,26.264183,151.7392,79.6158
10.500,18.0000,26.274130,150.3615,80.6381
11.000,18.0000,26.300440,149.2984,79.3451
11.500,18.0000,18.550816,148.8247,80.0338
12.000,18.0000,17.789517,152.0864,79.1900
12.500,18.0000,18.141797,152.1172,79.1828
13.000,18.0000,18.366163,150.1485,79.3447
13.500,18.0000,18.807880,152.9976,78.8522
14.000,18.0000,17.985303,151.6165,79.1805
14.500,18.0000,18.318409,150.2591,80.1719
15.000,18.0000,18.383024,150.1904,79.4316
15.500,18.0000,18.852708,149.0094,79.9839
16.000,18.0000,18.326509,150.2126,79.7239
16.500,18.0000,18.446261,147.9724,80.2002
17.000,18.0000,18.934213,150.4863,80.1622
17.500,18.0000,18.776420,151.8560,79.9417
18.000,18.0000,18.603677,151.7280,79.8184
18.500,18.0000,18.262824,150.0477,78.8338
19.000,18.0000,18.568230,150.8267,80.3900
19.500,18.0000,18.630383,151.8563,79.7657
20.000,18.0000,26.292957,147.1772,79.2751
20.500,18.0000,26.205156,151.2674,79.6502
21.000,18.0000,26.801094,150.1469,80.2700
21.500,18.0000,18.963058,148.7093,79.6048
22.000,18.0000,18.500151,146.7574,80.0736
22.500,18.0000,19.031638,149.9871,79.4834
23.000,18.0000,19.017272,145.3101,79.8127
23.500,18.0000,18.747985,148.8583,80.4138
24.000,18.0000,19.011221,149.4777,79.6687
24.500,18.0000,18.618593,148.9758,79.0519
25.000,18.0000,19.163985,152.0560,80.0991
25.500,18.0000,18.436699,154.1617,80.6841
26.000,18.0000,18.836417,148.1916,79.2548
26.500,18.0000,18.920565,148.1740,79.6649
27.000,18.0000,19.136593,146.9864,80.6789
27.500,18.0000,19.295013,147.5258,78.9632
28.000,18.0000,18.754973,147.9377,79.5321
28.500,18.0000,18.080644,149.5426,80.5594
29.000,18.0000,18.535022,149.4539,78.9072
29.500,18.0000,19.076471,149.5494,80.6164
30.000,18.0000,26.962052,149.2556,79.9151
30.500,18.0000,26.763132,147.3214,79.7850
31.000,18.0000,26.877539,150.3326,79.8157
31.500,18.0000,18.791904,150.8432,80.4908
32.000,18.0000,18.627660,153.4749,79.4946
32.500,18.0000,18.745012,154.8544,79.6875
33.000,18.0000,19.401121,151.6352,78.7637
33.500,18.0000,19.041246,148.9494,78.9271
34.000,18.0000,18.488487,150.2046,79.8871
34.500,18.0000,19.152200,149.3883,79.1867
35.000,18.0000,18.753942,148.8897,79.0635
35.500,18.0000,19.004018,149.9542,79.1260
36.000,18.0000,19.010385,148.4794,79.5658
36.500,18.0000,19.247126,150.3563,79.7981
37.000,18.0000,18.614396,149.2426,79.6944
37.500,18.0000,19.317349,146.8040,79.6296
38.000,18.0000,19.501926,149.6428,79.4966
38.500,18.0000,19.290137,150.4942,79.8753
39.000,18.0000,19.191724,150.3050,79.1408
39.500,18.0000,19.133869,152.5062,79.4239
40.000,18.0000,27.149431,149.0170,79.9136
40.500,18.0000,26.958596,151.8210,79.0455
41.000,18.0000,26.912666,150.4119,79.5731
41.500,18.0000,19.334267,152.1251,79.2958
42.000,18.0000,19.392898,148.1804,80.1256
42.500,18.0000,19.464738,151.0730,79.5839
43.000,18.0000,19.054320,149.3453,79.7349
43.500,18.0000,19.299245,150.2475,78.7981
44.000,18.0000,19.374328,148.6161,78.9303
44.500,18.0000,19.288594,146.2870,79.8153
45.000,18.0000,19.605604,149.8931,78.9631
45.500,18.0000,19.081389,149.6978,78.2421
46.000,18.0000,19.434143,151.3289,79.2921
46.500,18.0000,19.246679,150.3639,79.6173
47.000,18.0000,19.738246,150.0368,79.0911
47.500,18.0000,19.286620,150.3639,80.2081
48.000,18.0000,19.343918,147.8949,78.9889
48.500,18.0000,18.826100,150.6596,78.7373
49.000,18.0000,19.099947,146.0480,78.8530
49.500,18.0000,19.655524,147.3773,78.5312
50.000,18.0000,27.553479,149.3177,79.6161
50.500,18.0000,27.737168,149.9830,78.7451
51.000,18.0000,27.492860,151.0005,79.0965
51.500,18.0000,19.113762,152.2052,79.1744
52.000,18.0000,19.437231,150.0319,79.8912
52.500,18.0000,19.654086,149.3335,79.7111
53.000,18.0000,20.234107,152.7756,79.7004
53.500,18.0000,19.268316,157.5041,78.7587
54.000,18.0000,19.508459,148.6002,80.1654
54.500,18.0000,19.761072,147.1458,79.4798
55.000,18.0000,19.814072,149.3630,78.7299
55.500,18.0000,19.447490,149.1263,79.3454
56.000,18.0000,19.524027,151.4704,78.8530
56.500,18.0000,19.175584,148.5212,79.9964
57.000,18.0000,19.538053,154.6816,79.5617
57.500,18.0000,19.375672,148.3314,79.4317
58.000,18.0000,19.386707,154.7492,78.8086
58.500,18.0000,19.959283,152.9203,79.2434
59.000,18.0000,19.471242,149.4539,79.4731
59.500,18.0000,20.047726,150.1134,78.5859
60.000,18.0000,27.812697,148.6533,78.1884
60.500,18.0000,27.605732,147.1351,79.5674
61.000,18.0000,28.413249,153.7175,78.9814
61.500,18.0000,19.704782,151.3776,79.7926
62.000,18.0000,19.734378,149.7147,80.3595
62.500,18.0000,19.842765,149.0294,79.3100
63.000,18.0000,20.063911,147.9567,79.1198
63.500,18.0000,19.555092,149.4435,80.1765
64.000,18.0000,20.142517,149.8149,78.7654
64.500,18.0000,19.841578,152.1015,78.9452
65.000,18.0000,20.385126,147.2527,79.0750
65.500,18.0000,20.487829,145.9843,79.8082
66.000,18.0000,19.424587,149.8198,79.1217
66.500,18.0000,20.242288,143.6909,78.2431
67.000,18.0000,19.840195,150.0738,78.7494
67.500,18.0000,19.958740,147.6277,78.9894
68.000,18.0000,19.785970,150.4880,79.4747
68.500,18.0000,20.484879,148.6872,79.0190
69.000,18.0000,20.084324,149.4102,79.1460
69.500,18.0000,19.616346,150.7435,78.7084
70.000,18.0000,27.812912,146.8237,79.7405
70.500,18.0000,28.072817,152.2990,79.2902
71.000,18.0000,27.618992,147.8326,79.5270
71.500,18.0000,19.915295,147.8193,79.0523
72.000,18.0000,20.106910,147.9763,78.9729
72.500,18.0000,20.031452,144.8200,79.3813
73.000,18.0000,19.946588,152.6089,78.5489
73.500,18.0000,19.731120,152.3752,78.3255
74.000,18.0000,20.029148,151.1947,78.9472
74.500,18.0000,19.738358,150.3761,79.0088
75.000,18.0000,20.635157,151.1773,80.6179
75.500,18.0000,19.771232,149.9567,78.5607
76.000,18.0000,20.626425,151.6437,79.4650
76.500,18.0000,20.061800,148.5097,78.0672
77.000,18.0000,20.822850,151.0164,78.9456
77.500,18.0000,20.605055,151.5018,79.5576
78.000,18.0000,19.852939,148.5723,79.1617
78.500,18.0000,20.461626,151.9145,78.5537
79.000,18.0000,20.408163,154.4107,79.3980
