timestamp,episode_id,episode,event_type,event_class,observed_annulus_pa,expected_annulus_pa,observed_choke_pa,expected_choke_pa,observed_xmas_pa,expected_xmas_pa,observed_xmas_degc,expected_xmas_degc
0,0,normal_a,0,0,12767730.0,12767730.0,1680365.0,1680365.0,10074540.0,10074540.0,119.08,119.08
60,0,normal_a,0,0,12767730.0,12767730.0,1390248.5,1535306.75,10074540.0,10074540.0,119.08,119.08
120,0,normal_a,0,0,12767730.0,12767730.0,1547687.5,1547687.5,10074540.0,10074540.0,119.08,119.08
180,0,normal_a,0,0,12767730.0,12767730.0,1756909.0,1614026.25,10074540.0,10074540.0,119.08,119.08
240,0,normal_a,0,0,12767730.0,12767730.0,1546471.5,1547687.5,10074540.0,10074540.0,119.08,119.08
300,0,normal_a,0,0,12767730.0,12767730.0,1565903.0,1556795.25,10074540.0,10074540.0,119.08,119.08
360,0,normal_a,0,0,12767730.0,12767730.0,1518573.5,1547687.5,10074540.0,10074540.0,119.08,119.08
420,0,normal_a,0,0,12767730.0,12767730.0,1552468.5,1550078.0,10074540.0,10074540.0,119.08,119.08
480,0,normal_a,0,0,12767730.0,12767730.0,1545132.0,1547687.5,10074540.0,10074540.0,119.08,119.08
540,0,normal_a,0,0,12767730.0,12767730.0,1581340.0,1550078.0,10074540.0,10074540.0,119.08,119.08
600,0,normal_a,0,0,12765845.0,12767730.0,1583968.0,1552468.5,10074270.0,10074540.0,119.08,119.08
660,0,normal_a,0,0,12761410.0,12767730.0,1626064.0,1559185.75,10070740.0,10074540.0,119.08,119.08
720,0,normal_a,0,0,12756975.0,12767730.0,1594412.0,1565903.0,10067210.0,10074540.0,119.08,119.08
780,0,normal_a,0,0,12752545.0,12767730.0,1617334.5,1573621.5,10063680.0,10074540.0,119.08,119.08
840,0,normal_a,0,0,12749590.0,12767730.0,1704244.0,1581340.0,10060150.0,10074540.0,119.08,119.08
900,0,normal_a,0,0,12762740.0,12767730.0,1482888.0,1573621.5,10056620.0,10074540.0,119.08,119.08
960,0,normal_a,0,0,12749275.0,12767730.0,1460663.0,1565903.0,10057395.0,10074540.0,119.08,119.08
1020,0,normal_a,0,0,12747780.0,12767730.0,1578661.0,1572282.0,10064005.0,10074540.0,119.08,119.08
1080,0,normal_a,0,0,12747780.0,12767730.0,1641113.0,1578661.0,10070625.0,10074540.0,119.08,119.08
1140,0,normal_a,0,0,12747780.0,12766787.5,1568639.0,1573650.0,10074540.0,10074540.0,119.08,119.08
1200,0,normal_a,0,0,12747780.0,12765845.0,1499285.0,1568639.0,10074540.0,10074540.0,119.08,119.08
1260,0,normal_a,0,0,12747780.0,12764292.5,1649033.5,1573650.0,10074540.0,10074540.0,119.08,119.08
1320,0,normal_a,0,0,12747780.0,12762740.0,1623698.0,1578661.0,10074540.0,10074540.0,119.08,119.08
1380,0,normal_a,0,0,12747780.0,12762075.0,1652364.5,1580000.5,10074540.0,10074540.0,119.08,119.08
1440,0,normal_a,0,0,12747780.0,12761410.0,1637117.5,1581340.0,10074540.0,10074540.0,119.08,119.08
1500,0,normal_a,0,0,12747780.0,12759192.5,1497684.5,1580000.5,10074540.0,10074540.0,119.08,119.08
1560,0,normal_a,0,0,12747780.0,12756975.0,1650490.5,1581340.0,10074540.0,10074540.0,119.09,119.08
1620,0,normal_a,0,0,12744320.0,12754760.0,1565476.0,1580000.5,10074540.0,10074540.0,119.09,119.08
1680,0,normal_a,0,0,12740580.0,12752545.0,1548041.0,1578661.0,10074540.0,10074540.0,119.09,119.08
1740,0,normal_a,0,0,12736840.0,12751067.5,1634918.0,1580000.5,10074540.0,10074540.0,119.09,119.08
1800,0,normal_a,0,0,12733100.0,12749432.5,1593923.5,1580000.5,10074540.0,10074540.0,119.09,119.08
1860,0,normal_a,0,0,12729360.0,12748527.5,1616348.0,1582654.0,10074540.0,10074540.0,119.09,119.08
1920,0,normal_a,0,0,12727830.0,12747780.0,1637250.5,1588945.75,10074540.0,10074540.0,119.09,119.08
1980,0,normal_a,0,0,12727830.0,12747780.0,1597154.0,1588945.75,10074540.0,10074540.0,119.09,119.08
2040,0,normal_a,0,0,12727830.0,12747780.0,1478038.0,1588945.75,10074540.0,10074540.0,119.09,119.08
2100,0,normal_a,0,0,12727830.0,12747780.0,1584520.5,1589222.0,10074540.0,10074540.0,119.09,119.08
2160,0,normal_a,0,0,12727830.0,12747780.0,1624546.5,1594167.75,10074540.0,10074540.0,119.09,119.08
2220,0,normal_a,0,0,12727830.0,12747780.0,1637106.5,1595783.0,10074540.0,10074540.0,119.09,119.08
2280,0,normal_a,0,0,12727830.0,12747780.0,1622233.5,1606751.0,10074540.0,10074540.0,119.09,119.08
2340,0,normal_a,0,0,12727830.0,12747780.0,1545916.0,1606751.0,10074540.0,10074540.0,119.09,119.08
2400,0,normal_a,0,0,12727830.0,12747780.0,1654098.5,1616841.25,10074540.0,10074540.0,119.09,119.09
2460,0,normal_a,0,0,12727830.0,12746050.0,1435869.5,1606751.0,10074540.0,10074540.0,119.09,119.09
2520,0,normal_a,0,0,12720375.0,12742450.0,1650217.5,1616841.25,10074540.0,10074540.0,119.09,119.09
2580,0,normal_a,0,0,12707775.0,12738710.0,1665339.0,1619290.75,10074540.0,10074540.0,119.09,119.09
2640,0,normal_a,0,0,12695175.0,12734970.0,1550556.5,1606751.0,10074540.0,10074540.0,119.09,119.09
