step,esp_id,label,rms_broadband,peak1x,peak2x,median_8_13hz,coeff_a,coeff_b,baseline_rms,baseline_peak1x
0,0,Normal,0.2664356533949614,0.1595,0.02152,0.00029,-0.0005463389799923974,-7.6302091646600045,0.2664356533949614,0.1595
1,0,Normal,0.13977706857707384,0.08378,0.00543,0.00027,-0.00013854210997105973,-7.851387592632361,0.20310636098601761,0.12164
2,0,Unbalance,0.40629254977171314,0.23448,0.01694,0.0005,9.96380628275626e-05,-7.422509605853479,0.2664356533949614,0.1595
3,0,Normal,0.1738205134614439,0.1002,0.00962,0.0002,-0.00026985211140502497,-7.785303600767088,0.22012808342820264,0.12985
4,0,Normal,0.18343026113485197,0.11606,0.00383,0.00034,0.0006783708849687881,-7.9813473252105345,0.18343026113485197,0.11606
5,0,Normal,0.09732224308964522,0.06561,0.00593,0.00038,-8.289007289495089e-05,-7.623570166979184,0.17862538729814792,0.10813
6,0,Normal,0.261025264294474,0.14907,0.01226,0.0005,-1.0478643119013341e-05,-7.623003384710372,0.18343026113485197,0.11606
7,0,Normal,0.21320019840516097,0.12307,0.0066,0.00024,-0.0003221247781665999,-7.790326788069225,0.19831522977000648,0.119565
8,0,Normal,0.08085121953316474,0.05223,0.00633,0.00035,-0.0009710001770447337,-7.344080122561036,0.18343026113485197,0.11606
9,0,Unbalance,0.3016465171355373,0.18336,0.00362,0.00041,-0.00040725462145701385,-7.411378980967958,0.19831522977000648,0.119565
10,0,Normal,0.1656783075722347,0.1063,0.02001,0.00027,-0.00046309734830357797,-7.90205839206119,0.18343026113485197,0.11606
11,0,Normal,0.17218179201065364,0.10959,0.00793,0.00042,0.0010617859239097098,-8.140224287403914,0.17862538729814792,0.11282500000000001
12,0,Unbalance,0.28778765348777563,0.18532,0.0055,0.00043,-0.0010124103558825945,-7.1597540472483185,0.18343026113485197,0.11606
13,0,Normal,0.21866601816468875,0.14091,0.01867,0.00091,-0.001272101876755304,-6.672332120699372,0.19831522977000648,0.119565
14,0,Unbalance,0.28172672840893176,0.18986,0.01501,0.00033,0.00043083050676264464,-7.850893630504042,0.21320019840516097,0.12307
15,0,Unbalance,0.3242104413802862,0.2062,0.0116,0.000405,0.0009337643037615196,-7.83667878321763,0.21320019840516097,0.12307
16,0,Normal,0.19417248440497434,0.11073,0.0025,0.0005,-0.00033864789780386356,-7.332098183016577,0.21320019840516097,0.12307
17,0,Normal,0.16991620405364521,0.11051,0.00822,0.00029,-0.00018184939026486265,-7.916852350234629,0.19417248440497434,0.11606
18,0,Unbalance,0.2748597469619733,0.16976,0.01271,0.00043,-0.0004444799372604338,-7.382872201322016,0.21320019840516097,0.12307
19,0,Unbalance,0.36700299344828236,0.21874,0.00956,0.00033,-0.00026957998621024605,-7.759338239788007,0.21866601816468875,0.14091
20,0,Unbalance,0.30147788078066357,0.17512,0.01306,0.00046,0.00033568327405724774,-7.486351616428353,0.261025264294474,0.14907
21,0,Unbalance,0.3457275320248591,0.20098,0.01634,0.00055,0.00014650219527217976,-7.291792624980031,0.2748597469619733,0.16976
22,0,Unbalance,0.4075841491029797,0.26454,0.00154,0.00048,-0.0010152469324748899,-7.123532690897004,0.28172672840893176,0.17512
23,0,Normal,0.05815824189227182,0.03367,0.01561,0.000855,-0.0005229220823917152,-6.800309167465404,0.28172672840893176,0.17512
24,0,Normal,0.06015507459890645,0.03905,0.00971,0.00035,-0.0014241970603948186,-7.398882751306578,0.2748597469619733,0.16976
25,0,Normal,0.12024553671550557,0.07754,0.00331,0.00211,-0.0028612416651891577,-5.6027474603278495,0.2748597469619733,0.16976
26,0,Unbalance,0.2834457297261682,0.17691,0.0113,0.00042,-0.0007285243173508156,-7.367386599830093,0.28172672840893176,0.17512
27,0,Normal,0.18568559098648446,0.11304,0.00784,0.00037,-0.00024072156234568136,-7.555111196662532,0.2748597469619733,0.16976
28,0,Normal,0.259532769414577,0.14807,0.01497,0.000355,3.1570266460620744e-05,-8.012714075003734,0.2748597469619733,0.16976
29,0,Normal,0.11115017543845804,0.0645,0.01546,0.00172,-0.0018208239031973457,-5.769637145550101,0.259532769414577,0.14807
30,0,Normal,0.1761450555650087,0.10553,0.00656,0.00022,-0.0003673343944051504,-7.802209750788398,0.19417248440497434,0.11304
31,0,Normal,0.1124093781674821,0.07574,0.00476,0.00018,0.00026565005497239716,-8.122510355211038,0.18568559098648446,0.11304
32,0,Normal,0.13098919497424205,0.0832,0.00188,0.00032,-0.0001843738259482628,-7.622716818062592,0.18568559098648446,0.11304
33,0,Normal,0.12046935004390119,0.07641,0.00933,0.00039,0.0007495110235305873,-7.899374604772088,0.1761450555650087,0.10553
34,0,Normal,0.17911133548717678,0.10745,0.01185,0.0002,-0.0002504115077335655,-7.978610098942737,0.1761450555650087,0.10553
35,0,Unbalance,0.29875861159136485,0.17164,0.01304,0.00034,-0.0007314147204441503,-7.581729776998353,0.1761450555650087,0.10553
36,0,Normal,0.05152436996218391,0.02972,0.00261,0.00038,-0.0005469803867612552,-7.40325962696105,0.13098919497424205,0.0832
37,0,Normal,0.2039446424890833,0.12675,0.00192,0.00032,-0.0013475445021209934,-7.34340215737828,0.13098919497424205,0.0832
38,0,Normal,0.13396076067266863,0.09002,0.00616,0.000915,-0.0005543640875048631,-6.5397298286507795,0.13396076067266863,0.09002
39,0,Normal,0.16993793425836387,0.10768,0.02589,0.00101,-9.478341005182799e-05,-6.640093319219097,0.16993793425836387,0.10553
40,0,Normal,0.026192439748904648,0.01644,0.00429,0.00045,-0.0005431714590200229,-7.506514018224664,0.16993793425836387,0.10553
41,0,Normal,0.09777849661351927,0.06269,0.01108,0.00034,-0.0011357839827628416,-7.560838468693223,0.13396076067266863,0.09002
42,0,Normal,0.031440262403485124,0.01785,0.00255,0.00055,-0.0014738533483355891,-7.095395423049791,0.13098919497424205,0.0832
43,0,Normal,0.05138689521658222,0.03266,0.00638,0.00036,-0.0002712593692462393,-7.8068761844385035,0.12046935004390119,0.07641
44,0,Normal,0.2023890916032779,0.13649,0.01341,0.00032,0.0007071827271111084,-8.007670010404675,0.13098919497424205,0.0832
45,0,Normal,0.15617456515066722,0.10005,0.00837,0.000315,-0.0009706813440461565,-7.607426183737747,0.13098919497424205,0.0832
46,0,Normal,0.1954860002660037,0.11282,0.0224,0.00025,-7.604654918277446e-05,-7.885029331206619,0.13396076067266863,0.09002
47,0,Normal,0.26440214144367286,0.16856,0.00963,0.00033,-0.0008086256636199787,-7.643340648291967,0.15617456515066722,0.10005
48,0,Normal,0.24444265442021365,0.14526,0.00724,0.00029,-0.0008592656664312834,-7.6609841262170715,0.16993793425836387,0.10745
49,0,Normal,0.25122422872804284,0.15058,0.00637,0.00037,-0.0002260930025316372,-7.689264658335354,0.16993793425836387,0.10768
50,0,Normal,0.11946663090587262,0.07536,0.0081,0.00027,7.186803582597043e-05,-8.009053942962826,0.15617456515066722,0.10005
