timestamp,expected_head,observed_head,vibration_rms,flow_rate
0.000,400.0000,400.781772,2.018849,281.4232
0.500,400.0000,400.644279,1.911107,277.7604
1.000,400.0000,398.793111,1.986946,279.6427
1.500,400.0000,400.195205,1.936135,282.7196
2.000,400.0000,400.949111,2.170229,282.1339
2.500,400.0000,400.225511,2.091214,281.8293
3.000,400.0000,399.396185,2.162817,285.1556
3.500,400.0000,402.032953,2.048618,280.9728
4.000,400.0000,400.480359,2.057134,281.8579
4.500,400.0000,399.950820,2.051121,285.2769
5.000,400.0000,400.244715,2.090848,282.6461
5.500,400.0000,400.238333,2.127195,279.8093
6.000,400.0000,398.875584,2.108748,276.5893
6.500,400.0000,400.314151,2.007119,282.7501
7.000,400.0000,400.861235,2.166006,279.6996
7.500,400.0000,400.536301,1.953124,276.7095
8.000,400.0000,399.979267,2.194458,279.7618
8.500,400.0000,399.131390,2.181928,278.6389
9.000,400.0000,399.075403,2.208243,279.3701
9.500,400.0000,401.348483,2.246350,282.2040
10.000,400.0000,400.481667,2.097342,277.1931
10.500,400.0000,398.696842,2.469175,276.7617
11.000,400.0000,399.966168,2.141830,279.1567
11.500,400.0000,399.599949,1.984678,277.0054
12.000,400.0000,398.801330,2.149433,277.9474
12.500,400.0000,399.512820,2.171206,278.2516
13.000,400.0000,401.140094,2.095412,280.6755
13.500,400.0000,398.890703,2.181080,278.7844
14.000,400.0000,400.632758,2.126797,279.4797
14.500,400.0000,400.449439,2.030853,284.0383
15.000,400.0000,401.174289,2.090585,276.4596
15.500,400.0000,399.148694,1.946504,279.2650
16.000,400.0000,400.704016,1.929026,283.5312
16.500,400.0000,400.267595,1.850778,278.5740
17.000,400.0000,397.686815,2.011711,278.3526
17.500,400.0000,399.669590,2.090249,278.8177
18.000,400.0000,399.694266,2.309557,283.6447
18.500,400.0000,399.154159,2.321429,275.1359
19.000,400.0000,399.489388,2.385025,273.2813
19.500,400.0000,400.886786,2.142879,279.5680
20.000,400.0000,400.139797,2.472441,277.5682
20.500,400.0000,400.258985,2.398196,279.2447
21.000,400.0000,399.513933,2.360142,280.2805
21.500,400.0000,401.228055,2.299646,278.6526
22.000,400.0000,400.674943,2.401988,279.4442
22.500,400.0000,400.342997,2.370305,277.6009
23.000,400.0000,400.808730,2.347588,283.4962
23.500,400.0000,400.593305,2.342310,280.8491
24.000,400.0000,400.551279,2.554375,283.4765
24.500,400.0000,400.025581,2.410626,278.1821
25.000,400.0000,399.418912,2.404818,280.8535
25.500,400.0000,400.423266,2.423030,277.7852
26.000,400.0000,400.763886,2.409237,276.8795
26.500,400.0000,400.272325,2.414652,276.7899
27.000,400.0000,401.259176,2.501894,280.1227
27.500,400.0000,400.571040,2.440778,279.9072
28.000,400.0000,401.339292,2.519110,280.2415
28.500,400.0000,400.896253,2.401236,278.9859
29.000,400.0000,399.335695,2.360069,275.2937
