step_idx,timestamp_s,episode_id,episode_name,event_class,observed_pa,expected_pa,residual_pa,drift_pa,slew_pa,token,r_norm,delta_norm,sigma_norm
0,0,0,normal_a,0,1680365,1680365,0.00,0.0000,0.0000,Nominal,0.000000,0.000000,0.000000
1,60,0,normal_a,0,1390248,1535307,-145058.25,-72529.1250,-2417.6375,Nominal,-0.290116,-0.362646,-0.001209
2,120,0,normal_a,0,1547688,1547688,0.00,-48352.7500,2417.6375,Nominal,0.000000,-0.241764,0.001209
3,180,0,normal_a,0,1756909,1614026,142882.75,-543.8750,2381.3792,Nominal,0.285766,-0.002719,0.001191
4,240,0,normal_a,0,1546472,1547688,-1216.00,-678.3000,-2401.6458,Nominal,-0.002432,-0.003391,-0.001201
5,300,0,normal_a,0,1565903,1556795,9107.75,952.7083,172.0625,Nominal,0.018215,0.004764,0.000086
6,360,0,normal_a,0,1518574,1547688,-29114.00,-3342.5357,-637.0292,Nominal,-0.058228,-0.016713,-0.000319
7,420,0,normal_a,0,1552468,1550078,2390.50,-2625.9062,525.0750,Nominal,0.004781,-0.013130,0.000263
8,480,0,normal_a,0,1545132,1547688,-2555.50,-2618.0833,-82.4333,Nominal,-0.005111,-0.013090,-0.000041
9,540,0,normal_a,0,1581340,1550078,31262.00,769.9250,563.6250,Nominal,0.062524,0.003850,0.000282
10,600,0,normal_a,0,1583968,1552468,31499.50,3919.8750,3.9583,Nominal,0.062999,0.019599,0.000002
11,660,0,normal_a,0,1626064,1559186,66878.25,25113.5250,589.6458,Nominal,0.133757,0.125568,0.000295
12,720,0,normal_a,0,1594412,1565903,28509.00,27964.4250,-639.4875,Nominal,0.057018,0.139822,-0.000320
13,780,0,normal_a,0,1617334,1573622,43713.00,18047.4500,253.4000,Nominal,0.087426,0.090237,0.000127
14,840,0,normal_a,0,1704244,1581340,122904.00,30459.4500,1319.8500,Nominal,0.245808,0.152297,0.000660
15,900,0,normal_a,0,1482888,1573622,-90733.50,20475.3250,-3560.6250,Nominal,-0.181467,0.102377,-0.001780
16,960,0,normal_a,0,1460663,1565903,-105240.00,12862.7250,-241.7750,Nominal,-0.210480,0.064314,-0.000121
17,1020,0,normal_a,0,1578661,1572282,6379.00,13261.5750,1860.3167,Nominal,0.012758,0.066308,0.000930
18,1080,0,normal_a,0,1641113,1578661,62452.00,19762.3250,934.5500,Nominal,0.124904,0.098812,0.000467
19,1140,0,normal_a,0,1568639,1573650,-5011.00,16135.0250,-1124.3833,Nominal,-0.010022,0.080675,-0.000562
20,1200,0,normal_a,0,1499285,1568639,-69354.00,6049.6750,-1072.3833,Nominal,-0.138708,0.030248,-0.000536
21,1260,0,normal_a,0,1649034,1573650,75383.50,6900.2000,2412.2917,Nominal,0.150767,0.034501,0.001206
22,1320,0,normal_a,0,1623698,1578661,45037.00,8553.0000,-505.7750,Nominal,0.090074,0.042765,-0.000253
23,1380,0,normal_a,0,1652364,1580000,72364.00,11418.1000,455.4500,Nominal,0.144728,0.057091,0.000228
24,1440,0,normal_a,0,1637118,1581340,55777.50,4705.4500,-276.4417,Nominal,0.111555,0.023527,-0.000138
25,1500,0,normal_a,0,1497684,1580000,-82316.00,5547.2000,-2301.5583,Nominal,-0.164632,0.027736,-0.001151
26,1560,0,normal_a,0,1650490,1581340,69150.50,22986.2500,2524.4417,Nominal,0.138301,0.114931,0.001262
