step_idx,step_in_unit,esp_id,label,rms_broadband,baseline_rms,peak1x,peak2x,residual,drift,slew,token,r_norm,delta_norm,sigma_norm
0,0,0,Normal,0.266436,0.266436,0.159500,0.021520,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
1,1,0,Normal,0.139777,0.203106,0.083780,0.005430,-0.063329,-0.031665,-0.063329,Nominal,-0.633293,-0.633293,-0.211098
2,2,0,Unbalance,0.406293,0.266436,0.234480,0.016940,0.139857,0.025509,0.203186,EnvViolation,1.398569,0.510184,0.677287
3,3,0,Normal,0.173821,0.220128,0.100200,0.009620,-0.046308,0.007555,-0.186164,Recovery,-0.463076,0.151100,-0.620548
4,4,0,Normal,0.183430,0.183430,0.116060,0.003830,0.000000,0.006044,0.046308,Nominal,0.000000,0.120880,0.154359
5,5,0,Normal,0.097322,0.178625,0.065610,0.005930,-0.081303,-0.008514,-0.081303,Nominal,-0.813031,-0.170277,-0.271010
6,6,0,Normal,0.261025,0.183430,0.149070,0.012260,0.077595,0.003787,0.158898,Nominal,0.775950,0.075748,0.529660
7,7,0,Normal,0.213200,0.198315,0.123070,0.006600,0.014885,0.005175,-0.062710,Nominal,0.148850,0.103492,-0.209033
8,8,0,Normal,0.080851,0.183430,0.052230,0.006330,-0.102579,-0.006798,-0.117464,EnvViolation,-1.025790,-0.135960,-0.391547
9,9,0,Unbalance,0.301647,0.198315,0.183360,0.003620,0.103331,0.004215,0.205910,EnvViolation,1.033313,0.084298,0.686368
10,10,0,Normal,0.165678,0.183430,0.106300,0.020010,-0.017752,0.002440,-0.121083,Recovery,-0.177520,0.048794,-0.403611
11,11,0,Normal,0.172182,0.178625,0.109590,0.007930,-0.006444,0.008128,0.011308,Nominal,-0.064436,0.162566,0.037695
12,12,0,Unbalance,0.287788,0.183430,0.185320,0.005500,0.104357,0.004578,0.110801,EnvViolation,1.043574,0.091567,0.369337
13,13,0,Normal,0.218666,0.198315,0.140910,0.018670,0.020351,0.011244,-0.084007,Recovery,0.203508,0.224883,-0.280022
14,14,0,Unbalance,0.281727,0.213200,0.189860,0.015010,0.068527,0.018097,0.048176,Nominal,0.685265,0.361936,0.160586
15,15,0,Unbalance,0.324210,0.213200,0.206200,0.011600,0.111010,0.037328,0.042484,EnvViolation,1.110102,0.746563,0.141612
16,16,0,Normal,0.194172,0.213200,0.110730,0.002500,-0.019028,0.027666,-0.130038,Recovery,-0.190277,0.553318,-0.433460
17,17,0,Normal,0.169916,0.194172,0.110510,0.008220,-0.024256,0.023752,-0.005229,Nominal,-0.242563,0.475035,-0.017429
18,18,0,Unbalance,0.274860,0.213200,0.169760,0.012710,0.061660,0.040176,0.085916,Nominal,0.616595,0.803512,0.286386
19,19,0,Unbalance,0.367003,0.218666,0.218740,0.009560,0.148337,0.044676,0.086677,EnvViolation,1.483370,0.893524,0.288925
20,20,0,Unbalance,0.301478,0.261025,0.175120,0.013060,0.040453,0.050497,-0.107884,DriftAccum,0.404526,1.009933,-0.359615
21,21,0,Unbalance,0.345728,0.274860,0.200980,0.016340,0.070868,0.058228,0.030415,DriftAccum,0.708678,1.164556,0.101384
22,22,0,Unbalance,0.407584,0.281727,0.264540,0.001540,0.125857,0.060378,0.054990,EnvViolation,1.258574,1.207556,0.183299
23,23,0,Normal,0.058158,0.281727,0.033670,0.015610,-0.223568,0.035986,-0.349426,EnvViolation,-2.235685,0.719717,-1.164753
24,24,0,Normal,0.060155,0.274860,0.039050,0.009710,-0.214705,0.007663,0.008864,EnvViolation,-2.147047,0.153255,0.029546
25,25,0,Normal,0.120246,0.274860,0.077540,0.003310,-0.154614,-0.018900,0.060090,EnvViolation,-1.546142,-0.377994,0.200302
26,26,0,Unbalance,0.283446,0.281727,0.176910,0.011300,0.001719,-0.016825,0.156333,Recovery,0.017190,-0.336501,0.521111
27,27,0,Normal,0.185686,0.274860,0.113040,0.007840,-0.089174,-0.023317,-0.090893,Nominal,-0.891742,-0.466336,-0.302977
28,28,0,Normal,0.259533,0.274860,0.148070,0.014970,-0.015327,-0.031015,0.073847,Nominal,-0.153270,-0.620309,0.246157
29,29,0,Normal,0.111150,0.259533,0.064500,0.015460,-0.148383,-0.060687,-0.133056,EnvViolation,-1.483826,-1.213749,-0.443519
30,30,0,Normal,0.176145,0.194172,0.105530,0.006560,-0.018027,-0.066535,0.130355,DriftAccum,-0.180274,-1.330709,0.434517
31,31,0,Normal,0.112409,0.185686,0.075740,0.004760,-0.073276,-0.080950,-0.055249,DriftAccum,-0.732762,-1.618997,-0.184163
32,32,0,Normal,0.130989,0.185686,0.083200,0.001880,-0.054696,-0.099005,0.018580,DriftAccum,-0.546964,-1.980104,0.061933
33,33,0,Normal,0.120469,0.176145,0.076410,0.009330,-0.055676,-0.082216,-0.000979,DriftAccum,-0.556757,-1.644319,-0.003264
34,34,0,Normal,0.179111,0.176145,0.107450,0.011850,0.002966,-0.060449,0.058642,DriftAccum,0.029663,-1.208977,0.195473
35,35,0,Unbalance,0.298759,0.176145,0.171640,0.013040,0.122614,-0.032726,0.119647,EnvViolation,1.226136,-0.654521,0.398824
36,36,0,Normal,0.051524,0.130989,0.029720,0.002610,-0.079465,-0.040844,-0.202078,Recovery,-0.794648,-0.816889,-0.673595
37,37,0,Normal,0.203945,0.130989,0.126750,0.001920,0.072955,-0.024631,0.152420,Nominal,0.729554,-0.492630,0.508068
38,38,0,Normal,0.133961,0.133961,0.090020,0.006160,0.000000,-0.023099,-0.072955,Nominal,0.000000,-0.461976,-0.243185
39,39,0,Normal,0.169938,0.169938,0.107680,0.025890,0.000000,-0.008261,0.000000,Nominal,0.000000,-0.165211,0.000000
40,40,0,Normal,0.026192,0.169938,0.016440,0.004290,-0.143745,-0.020832,-0.143745,EnvViolation,-1.437455,-0.416647,-0.479152
41,41,0,Normal,0.097778,0.133961,0.062690,0.011080,-0.036182,-0.017123,0.107563,Recovery,-0.361823,-0.342459,0.358544
42,42,0,Normal,0.031440,0.130989,0.017850,0.002550,-0.099549,-0.021608,-0.063367,BoundaryGrazing,-0.995489,-0.432164,-0.211222
43,43,0,Normal,0.051387,0.120469,0.032660,0.006380,-0.069082,-0.022949,0.030466,Recovery,-0.690825,-0.458977,0.101555
44,44,0,Normal,0.202389,0.130989,0.136490,0.013410,0.071400,-0.016106,0.140482,Nominal,0.713999,-0.322110,0.468275
45,45,0,Normal,0.156175,0.130989,0.100050,0.008370,0.025185,-0.025848,-0.046215,Nominal,0.251854,-0.516967,-0.154048
46,46,0,Normal,0.195486,0.133961,0.112820,0.022400,0.061525,-0.011749,0.036340,Nominal,0.615252,-0.234986,0.121133
47,47,0,Normal,0.264402,0.156175,0.168560,0.009630,0.108228,-0.008222,0.046702,EnvViolation,1.082276,-0.164442,0.155674
48,48,0,Normal,0.244443,0.169938,0.145260,0.007240,0.074505,-0.000772,-0.033723,Recovery,0.745047,-0.015433,-0.112410
