step_idx,depth_m,observed_tqa_knm,baseline_tqa_knm,swob_kn,rpm,hkld_kn,sppa_kpa,residual_knm,drift_knm,slew_knm,token,r_norm,delta_norm,sigma_norm
0,1200.00,0.013558,0.013558,12.8554,0.00,1149.3760,236.7660,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
1,1200.50,0.013558,0.013558,12.6329,0.00,1149.5984,236.7660,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
2,1201.00,0.013558,0.013558,12.0769,0.00,1150.1099,236.7660,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
3,1201.50,0.013558,0.013558,12.9888,0.00,1149.7318,213.8754,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
4,1202.00,0.013558,0.013558,13.3891,0.00,1148.9756,213.8754,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
5,1202.50,0.013558,0.013558,14.5234,0.00,1148.0193,213.8754,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
6,1203.00,0.013558,0.013558,18.2377,0.00,1144.8388,215.3233,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
7,1203.50,0.189815,0.013558,19.7501,0.00,1143.9047,224.4933,0.176256,0.022032,0.352513,Nominal,0.022032,0.007344,0.017626
8,1204.00,0.189815,0.013558,17.9263,0.00,1143.4598,220.6322,0.176256,0.039168,0.000000,Nominal,0.022032,0.013056,0.000000
9,1204.50,0.203373,0.013558,18.8160,0.00,1143.0817,222.2180,0.189815,0.054233,0.027116,Nominal,0.023727,0.018078,0.001356
10,1205.00,0.244047,0.013558,19.7946,0.00,1143.1040,216.3575,0.230489,0.077282,0.081349,Nominal,0.028811,0.025761,0.004067
11,1205.50,0.325396,0.013558,24.2428,0.00,1149.5539,241.7302,0.311838,0.108465,0.162698,Nominal,0.038980,0.036155,0.008135
12,1206.00,0.325396,0.013558,20.6620,0.00,1149.9987,241.7302,0.311838,0.139649,0.000000,Nominal,0.038980,0.046550,0.000000
13,1206.50,0.325396,0.101686,20.1949,0.00,1150.3546,241.7302,0.223710,0.162020,-0.176256,Nominal,0.027964,0.054007,-0.008813
14,1207.00,0.338954,0.189815,21.3070,0.00,1150.3546,255.6576,0.149140,0.176934,-0.149140,Nominal,0.018642,0.058978,-0.007457
15,1207.50,0.338954,0.189815,21.8853,0.00,1149.5539,255.6576,0.149140,0.191848,0.000000,Nominal,0.018642,0.063949,0.000000
16,1208.00,0.338954,0.189815,21.3737,0.00,1149.9765,255.6576,0.149140,0.206762,0.000000,Nominal,0.018642,0.068921,0.000000
17,1208.50,0.338954,0.196594,21.9297,0.00,1149.3760,255.6576,0.142361,0.203373,-0.013558,Nominal,0.017795,0.067791,-0.000678
18,1209.00,0.298280,0.203373,21.8408,0.00,1149.9543,237.6623,0.094907,0.195238,-0.094907,Nominal,0.011863,0.065079,-0.004745
19,1209.50,0.298280,0.223710,21.4404,0.00,1148.9756,237.6623,0.074570,0.183713,-0.040675,Nominal,0.009321,0.061238,-0.002034
20,1210.00,0.298280,0.244047,21.8630,0.00,1149.1758,237.6623,0.054233,0.166088,-0.040675,Nominal,0.006779,0.055363,-0.002034
21,1210.50,0.298280,0.271164,22.4635,0.00,1149.1536,237.6623,0.027116,0.137616,-0.054233,Nominal,0.003390,0.045872,-0.002712
22,1211.00,0.271164,0.271164,21.8853,0.00,1149.0201,242.3507,0.000000,0.106432,-0.054233,Nominal,0.000000,0.035477,-0.002712
23,1211.50,0.271164,0.271164,21.1958,0.00,1149.3093,242.3507,0.000000,0.084061,0.000000,Nominal,0.000000,0.028020,0.000000
24,1212.00,0.271164,0.271164,21.1735,0.00,1150.2211,242.3507,0.000000,0.069147,0.000000,Nominal,0.000000,0.023049,0.000000
25,1212.50,0.271164,0.271164,21.8408,0.00,1149.5094,242.3507,0.000000,0.054233,0.000000,Nominal,0.000000,0.018078,0.000000
26,1213.00,0.257605,0.271164,22.3301,0.00,1148.8867,235.0423,-0.013558,0.037963,-0.027116,Nominal,-0.001695,0.012654,-0.001356
27,1213.50,0.244047,0.271164,20.8844,0.00,1150.3546,227.8028,-0.027116,0.021015,-0.027116,Nominal,-0.003390,0.007005,-0.001356
28,1214.00,0.244047,0.271164,21.3959,0.00,1149.9098,227.8028,-0.027116,0.008813,0.000000,Nominal,-0.003390,0.002938,0.000000
29,1214.50,0.244047,0.264384,20.9956,0.00,1150.0877,227.8028,-0.020337,-0.000678,0.013558,Nominal,-0.002542,-0.000226,0.000678
30,1215.00,0.271164,0.271164,21.1735,0.00,1150.1099,243.5918,0.000000,-0.006101,0.040675,Nominal,0.000000,-0.002034,0.002034
31,1215.50,0.271164,0.271164,21.1735,0.00,1150.1767,243.5918,0.000000,-0.008813,0.000000,Nominal,0.000000,-0.002938,0.000000
