slug,mean_ns,std_ns,p50_ns,p95_ns,p99_ns,max_ns
aloha_static,1749359.5137689316,881.139888859754,1749448.8154761905,1750558.2976851852,1750681.059537037,1750711.75
aloha_static_pingpong_test,190045.17133471085,1205.6012532516527,190143.92975245655,192645.29962522048,192738.33964285714,192761.59964726632
aloha_static_screw_driver,623532.828016666,11807.211729467917,618930.1949786325,635696.9658119659,662063.7692307692,668655.4700854701
aloha_static_tape,1120139.5183592797,3538.7148796348533,1121298.3637987012,1123631.2228287337,1124118.2030073053,1124239.948051948
anymal_parkour,105833.01833383809,206.891816746817,105909.02316239316,106123.90696560846,106150.432694709,106157.06412698413
cheetah3,1637877.0130688928,183642.69342605525,1585122.4040178573,1770477.1619008463,2275118.4692222737,2401278.7960526315
cwru,5907.4900140109885,189.36463925905346,5850.851395523792,6003.974555012225,6554.938989242053,6692.680097799511
dlr_justin,97928.90017902614,1511.9922246682984,97586.30888379941,98463.71946721312,103100.06520491802,104259.15163934426
droid,1106632.5060592531,13003.376491649276,1110621.811983471,1124315.4943181819,1124915.1170454544,1125065.0227272727
femto_st,117739.85877791063,25892.699728880412,109587.39528105978,164692.5761904762,166435.29238095236,166870.9714285714
icub3_sorrentino,149225.16296790633,232.86356584863088,149237.26385570952,149649.81954968945,149739.4195621118,149761.8195652174
icub_pushrecovery,453957.19462625554,2796.35521779687,453949.6875,455880.24833091436,462141.6798548621,463707.03773584904
ims,37695.859773128686,169.1598019405852,37671.00067460317,37895.846923658355,38213.016580498865,38292.308994709
kuka_lwr,60936.87273294426,1034.589236052049,60595.02865090057,62160.57452926209,64303.61169974555,64839.370992366414
mobile_aloha,2097278.735072992,7303.918800172356,2097330.71875,2105858.875,2106368.4283333337,2106495.816666667
openx,3506.8781856459364,7.945423283114783,3506.5182203673908,3518.0121238938054,3518.6515103244838,3518.8113569321536
panda_gaz,711423.1565660848,2748.244759769627,710383.0514705882,716351.0493960084,716511.3363497899,716551.4080882353
so100,638966.9758638522,7729.559104830819,638071.7356459331,641722.5800207757,664995.1963365651,670813.3504155125
unitree_g1,123137.08401410114,267.89394494088737,123070.71746849944,123460.58506136475,123916.63483259696,124030.647275405
ur10_kufieta,409365.7951135334,478.17473419052374,409284.5474137931,410251.4451410658,410275.7699059561,410281.8510971787
