step,case,run,time_minutes,vb,doc,feed,material,vib_table_rms,vib_spindle_rms,ae_table_rms,ae_spindle_rms,smc_dc_rms,smc_ac_rms
0,11,1,1,0.0,0.75,0.25,1,0.9938054860350699,0.3054462966623606,0.13842589033073333,0.17519617173801533,3.3422288078571962,0.8601753807885469
1,11,2,3,0.04,0.75,0.25,1,0.8724275763510884,0.3018882403751003,0.14114894834180258,0.1887259760738632,3.3461048568694443,0.861929009429435
2,11,3,10,0.07,0.75,0.25,1,0.9034170874458691,0.2903924863035718,0.13172793041750988,0.17250730388780544,3.569827813012897,0.9174711497520821
3,11,4,12,0.07,0.75,0.25,1,0.8549805655758659,0.28871376721283964,0.13453971060843808,0.18532318663558234,3.8950290094431677,0.996949798477727
4,11,5,14,0.08,0.75,0.25,1,1.2966985383300846,0.30755271168643805,0.13200597574449052,0.23372282968317676,3.8890173631215474,0.9958695249485067
5,11,6,17,0.09,0.75,0.25,1,1.1193336919450176,0.29097536905226346,0.13466056961388934,0.22295428252813224,4.109657163808009,1.0491039580374433
6,11,7,19,nan,0.75,0.25,1,0.8519630870365889,0.2857949954482003,0.14365662035989882,0.21254171522216353,4.309503329902548,1.100283559220987
7,11,8,21,0.12,0.75,0.25,1,0.7737767555473946,0.294900418722799,0.15001840064648256,0.20646024279267977,4.576544521324402,1.1670186090958736
8,11,9,27,0.16,0.75,0.25,1,0.8587055454010529,0.3099517891958754,0.14650251940216166,0.18881815458276266,4.360012287089527,1.111934063582626
9,11,10,33,0.18,0.75,0.25,1,0.8071270124635392,0.2807646478325093,0.14949391142244856,0.18372996543708192,4.545542620154786,1.159125496750021
10,11,11,39,0.2,0.75,0.25,1,0.7818576141079209,0.29027894700244306,0.15968484494469096,0.21226941544579667,4.617163251112825,1.1777690240596659
11,11,12,45,0.23,0.75,0.25,1,1.0410982288051343,0.31632052622146145,0.16240114550703777,0.2140810144806689,4.66942037898563,1.182244343307671
12,11,13,51,0.26,0.75,0.25,1,0.626972060084319,0.2876696082282853,0.1631121575654073,0.22503630288594792,5.3075968167045575,1.3446112812425144
13,11,14,54,nan,0.75,0.25,1,0.6624071514996149,0.2815026825940206,0.17487953461399303,0.2444997347035775,5.232285464925684,1.3258332984032377
14,11,15,57,0.31,0.75,0.25,1,0.544857451270246,0.28149358803190394,0.1868160049275525,0.22465449898094986,5.168129241724693,1.3124287492596884
15,11,16,63,0.37,0.75,0.25,1,0.8602594802388512,0.28772063721145974,0.18310604383590245,0.2332580763289263,5.059218136462712,1.2847726057958424
16,11,17,67,nan,0.75,0.25,1,0.7223613574935388,0.2739804218486741,0.2057410315218852,0.26220181335839393,5.575961993963247,1.4086948532688184
17,11,18,72,0.42,0.75,0.25,1,0.5559360469441506,0.27388802455354544,0.21523608864534569,0.24520474998056518,5.872792507400511,1.4958453313847522
18,11,19,80,0.47,0.75,0.25,1,0.6798076864411178,0.27112758650063096,0.20117384427124216,0.26152192744404007,6.789763600571544,1.7185064428367347
19,11,20,86,0.57,0.75,0.25,1,0.5573324325244717,0.2692040326127666,0.24649675042302982,0.27403164535064045,6.559016497833245,1.6612659378824457
20,11,21,93,0.65,0.75,0.25,1,0.5754289522086405,0.27301764482598473,0.22789989588365678,0.27208714338403,6.940514884852707,1.7602824848434102
21,11,22,100,0.68,0.75,0.25,1,0.31630979619326466,0.27180042425469036,0.2582548766117851,0.31101388018447473,7.316947280206577,1.854619592182051
22,11,23,105,0.76,0.75,0.25,1,0.29707764853290114,0.272397363645049,0.24444887131545628,0.4721680521184196,6.467799857650068,1.6388093967699893
