t,phi_true,phi_mean,phi_freqonly,phi_dsfb,err_mean,err_freqonly,err_dsfb,w2,s2
0.000000,0.000000,0.005059,0.002530,0.005030,0.005059,0.002530,0.005030,0.499985,0.000082
0.010000,0.005000,-0.016738,-0.007102,-0.003327,0.021738,0.012102,0.008327,0.497404,0.001940
0.020000,0.010000,0.052759,0.022821,0.026860,0.042759,0.012821,0.016860,0.489638,0.006052
0.030000,0.015000,0.001899,0.012383,0.016622,0.013101,0.002617,0.001622,0.497495,0.009622
0.040000,0.020001,-0.004072,0.004168,0.008783,0.024073,0.015833,0.011218,0.496814,0.010607
0.050000,0.025000,-0.017422,-0.006623,-0.001828,0.042422,0.031623,0.026828,0.496494,0.011748
0.060000,0.029997,0.033054,0.013209,0.017700,0.003057,0.016789,0.012297,0.490045,0.014571
0.070000,0.034994,0.038569,0.025902,0.030575,0.003575,0.009092,0.004419,0.489654,0.014840
0.080000,0.039989,0.025034,0.025494,0.030197,0.014956,0.014496,0.009793,0.492512,0.014230
0.090000,0.044984,0.030730,0.028137,0.032842,0.014255,0.016847,0.012142,0.493885,0.014164
0.100000,0.049977,0.065241,0.046717,0.051300,0.015264,0.003260,0.001323,0.489503,0.015900
0.110000,0.054968,0.117963,0.082386,0.087188,0.062995,0.027419,0.032220,0.498414,0.016292
0.120000,0.059957,0.065081,0.073816,0.078671,0.005124,0.013859,0.018714,0.497668,0.017030
0.130000,0.064945,0.093063,0.083513,0.088207,0.028118,0.018568,0.023263,0.495819,0.018717
0.140000,0.069932,0.029325,0.056502,0.061658,0.040606,0.013430,0.008274,0.489024,0.022677
0.150000,0.074915,0.071491,0.064052,0.068864,0.003424,0.010863,0.006050,0.488547,0.022645
0.160000,0.079896,0.131447,0.097813,0.102782,0.051552,0.017917,0.022886,0.495370,0.022912
0.170000,0.084872,0.121952,0.109979,0.114886,0.037080,0.025107,0.030014,0.495660,0.022455
0.180000,0.089845,0.085647,0.097922,0.102777,0.004198,0.008077,0.012932,0.496804,0.022826
0.190000,0.094815,0.083649,0.090882,0.095816,0.011167,0.003934,0.001001,0.501887,0.023004
0.200000,0.099782,0.104135,0.097598,0.102348,0.004353,0.002185,0.002566,0.502440,0.024216
0.210000,0.104745,0.093421,0.095605,0.100389,0.011324,0.009140,0.004356,0.499528,0.024456
0.220000,0.109702,0.095131,0.095461,0.100318,0.014571,0.014241,0.009385,0.501598,0.024831
0.230000,0.114655,0.100623,0.098136,0.103038,0.014032,0.016520,0.011617,0.502442,0.025037
0.240000,0.119603,0.179345,0.138836,0.143529,0.059742,0.019233,0.023926,0.506601,0.026246
0.250000,0.124545,0.168945,0.154027,0.158869,0.044399,0.029481,0.034324,0.502269,0.028460
0.260000,0.129483,0.162702,0.158515,0.163397,0.033219,0.029032,0.033914,0.502388,0.028700
0.270000,0.134416,0.116029,0.137428,0.142304,0.018386,0.003012,0.007888,0.504754,0.029232
0.280000,0.139342,0.184483,0.161089,0.165839,0.045140,0.021747,0.026497,0.506228,0.029179
0.290000,0.144263,0.159904,0.160654,0.165661,0.015642,0.016391,0.021398,0.508006,0.028847
0.300000,0.149177,0.201823,0.181395,0.186375,0.052646,0.032218,0.037198,0.501637,0.032549
0.310000,0.154085,0.206381,0.194065,0.198877,0.052296,0.039980,0.044792,0.498742,0.032948
0.320000,0.158986,0.190126,0.192285,0.197159,0.031140,0.033299,0.038173,0.501385,0.034884
0.330000,0.163881,0.158721,0.175690,0.180555,0.005160,0.011809,0.016674,0.504619,0.034418
0.340000,0.168769,0.250124,0.213077,0.217868,0.081355,0.044308,0.049099,0.503366,0.036192
0.350000,0.173652,0.205876,0.209684,0.215071,0.032224,0.036032,0.041420,0.506155,0.038867
0.360000,0.178527,0.186211,0.198151,0.203370,0.007683,0.019623,0.024843,0.509500,0.037599
0.370000,0.183396,0.185098,0.191816,0.196660,0.001702,0.008420,0.013264,0.506581,0.037581
0.380000,0.188256,0.231723,0.211954,0.216743,0.043467,0.023698,0.028487,0.500860,0.039836
0.390000,0.193109,0.191491,0.201927,0.206825,0.001618,0.008818,0.013716,0.495411,0.041395
0.400000,0.197954,0.238133,0.220224,0.224157,0.040179,0.022270,0.026203,0.491117,0.045306
0.410000,0.202792,0.250626,0.235637,0.238648,0.047834,0.032845,0.035856,0.488072,0.049405
0.420000,0.207625,0.220096,0.228094,0.231702,0.012471,0.020469,0.024077,0.492665,0.047106
0.430000,0.212454,0.250531,0.239531,0.243499,0.038077,0.027078,0.031045,0.490553,0.046148
0.440000,0.217280,0.226893,0.233442,0.237560,0.009613,0.016162,0.020280,0.494775,0.044280
0.450000,0.222103,0.193840,0.213865,0.218341,0.028262,0.008238,0.003762,0.502864,0.042266
0.460000,0.226921,0.206828,0.210550,0.215076,0.020093,0.016371,0.011845,0.499839,0.042080
0.470000,0.231736,0.256752,0.233851,0.238384,0.025016,0.002114,0.006647,0.501241,0.041417
0.480000,0.236547,0.244569,0.239432,0.244040,0.008022,0.002886,0.007494,0.500960,0.042842
0.490000,0.241352,0.262580,0.251234,0.255750,0.021228,0.009882,0.014398,0.498545,0.043403
0.500000,0.246151,0.280657,0.266185,0.270484,0.034507,0.020034,0.024333,0.495145,0.044549
0.510000,0.250943,0.219869,0.243281,0.247729,0.031074,0.007662,0.003214,0.494277,0.045429
0.520000,0.255729,0.256099,0.249920,0.254066,0.000370,0.005809,0.001663,0.493998,0.046121
0.530000,0.260509,0.339142,0.294768,0.299106,0.078633,0.034258,0.038596,0.499589,0.046294
0.540000,0.265283,0.271022,0.283175,0.288026,0.005739,0.017892,0.022743,0.505212,0.046481
0.550000,0.270052,0.258394,0.271053,0.276951,0.011659,0.001001,0.006899,0.510561,0.048240
0.560000,0.274816,0.250823,0.261194,0.266901,0.023993,0.013622,0.007915,0.515259,0.045969
0.570000,0.279574,0.337851,0.299768,0.304759,0.058277,0.020194,0.025185,0.515474,0.046651
0.580000,0.284325,0.355441,0.327888,0.332658,0.071116,0.043563,0.048333,0.514221,0.046754
0.590000,0.289071,0.293850,0.311180,0.316906,0.004780,0.022110,0.027835,0.520755,0.044908
0.600000,0.293811,0.343515,0.327641,0.332989,0.049704,0.033831,0.039178,0.517393,0.044495
0.610000,0.298546,0.261066,0.294663,0.300011,0.037480,0.003882,0.001466,0.520127,0.044986
0.620000,0.303276,0.332460,0.313838,0.318776,0.029184,0.010562,0.015500,0.518819,0.044245
0.630000,0.308002,0.341746,0.328087,0.333557,0.033744,0.020085,0.025555,0.514865,0.045597
0.640000,0.312723,0.384888,0.356796,0.361879,0.072166,0.044073,0.049156,0.512185,0.046218
0.650000,0.317438,0.336408,0.346939,0.351691,0.018970,0.029501,0.034253,0.511807,0.045388
0.660000,0.322149,0.396083,0.371837,0.376641,0.073934,0.049688,0.054492,0.504608,0.047617
0.670000,0.326857,0.355425,0.363981,0.368869,0.028568,0.037124,0.042012,0.508837,0.045585
0.680000,0.331560,0.364065,0.364365,0.369085,0.032505,0.032805,0.037525,0.510034,0.043352
0.690000,0.336257,0.320825,0.342936,0.349203,0.015431,0.006680,0.012946,0.518343,0.043219
0.700000,0.340948,0.367045,0.355310,0.360859,0.026096,0.014361,0.019910,0.515439,0.042466
0.710000,0.345634,0.420377,0.388174,0.393388,0.074742,0.042540,0.047754,0.510227,0.044366
0.720000,0.350316,0.314012,0.351456,0.356749,0.036304,0.001141,0.006433,0.515260,0.044679
0.730000,0.354994,0.422753,0.387430,0.392471,0.067759,0.032437,0.037477,0.510949,0.046542
0.740000,0.359669,0.419726,0.403939,0.408220,0.060057,0.044271,0.048552,0.514210,0.044513
0.750000,0.364341,0.409571,0.407132,0.411397,0.045229,0.042790,0.047055,0.513308,0.042590
0.760000,0.369013,0.401027,0.404459,0.409574,0.032014,0.035446,0.040561,0.515234,0.042415
0.770000,0.373683,0.397606,0.401408,0.407088,0.023922,0.027725,0.033404,0.517313,0.042258
